DATE,CUUSA321SETB
1990-01-01,124.900
1991-01-01,124.000
1992-01-01,121.600
1993-01-01,119.000
1994-01-01,117.400
1995-01-01,119.800
1996-01-01,127.700
1997-01-01,129.400
