05-22,12573.466250000001
04-22,13436.888750000002
03-22,13622.425217391308
02-22,13891.854473684212
01-22,14561.58925
12-21,15477.49159090909
11-21,15820.52285714286
10-21,14860.16261904762
09-21,15042.802380952382
08-21,14844.698409090908
07-21,14632.990714285714
06-21,14087.110227272728
05-21,13524.8115
04-21,13897.460714285717
03-21,13179.886739130434
02-21,13735.505263157895
01-21,13191.210263157895
12-20,12612.18
11-20,11790.329749999999
10-20,11445.162727272727
09-20,11104.223809523808
08-20,11200.348333333335
07-20,10495.795454545452
06-20,9834.039090909093
05-20,9099.13825
04-20,8287.571904761904
03-20,7760.300454545455
02-20,9419.001052631576
01-20,9229.294047619049
12-19,8775.779285714287
11-19,8512.04425
10-19,8078.4636956521745
09-19,8090.397999999999
08-19,7916.587272727272
07-19,8204.657954545455
06-19,7826.318249999998
05-19,7801.123636363638
04-19,7989.676666666666
03-19,7629.399761904761
02-19,7422.647894736842
01-19,6963.958333333333
12-18,6836.606578947368
11-18,7232.005
10-18,7546.224347826087
09-18,7985.071052631579
08-18,7884.132608695653
07-18,7754.083571428571
06-18,7644.702857142856
05-18,7329.462727272726
04-18,7092.67857142857
03-18,7318.324761904762
02-18,7164.6410526315785
01-18,7273.00857142857
12-17,6892.819
11-17,6793.0811904761895
10-17,6601.48181818182
09-17,6427.895749999999
08-17,6310.989130434783
07-17,6293.199500000001
06-17,6227.018181818182
05-17,6122.872954545454
04-17,5913.033421052632
03-17,5862.989347826087
02-17,5759.2986842105265
01-17,5557.84175
12-16,5414.248095238095
11-16,5258.700714285714
10-16,5261.105714285714
09-16,5251.438095238095
08-16,5216.339782608695
07-16,5019.79425
06-16,4854.631818181819
05-16,4784.285476190477
04-16,4892.067619047619
03-16,4746.914318181819
02-16,4462.882250000001
01-16,4617.361842105263
12-15,5044.084318181819
11-15,5080.183500000001
10-15,4871.535909090909
09-15,4751.441666666666
08-15,4937.388571428572
07-15,5084.210227272727
06-15,5075.378863636363
05-15,5028.3965
04-15,4984.926190476192
03-15,4938.267272727273
02-15,4846.411578947368
01-15,4678.870999999999
12-14,4733.963409090909
11-14,4684.643421052632
10-14,4401.620869565218
09-14,4552.436428571429
08-14,4462.225476190475
07-14,4435.631136363635
06-14,4328.366666666667
05-14,4132.698095238096
04-14,4125.177380952383
03-14,4282.935476190477
02-14,4195.909736842104
01-14,4155.571428571429
12-13,4075.7111904761905
11-13,3955.8287499999997
10-13,3845.9126086956517
09-13,3729.6160000000004
08-13,3639.599318181819
07-13,3557.743181818182
06-13,3418.7387500000004
05-13,3437.4375
04-13,3249.897954545454
03-13,3233.5284999999994
02-13,3170.0278947368415
01-13,3124.319285714286
12-12,3002.63525
11-12,2941.119523809524
10-12,3065.375952380952
09-12,3135.786578947369
08-12,3031.0426086956527
07-12,2919.7861904761903
06-12,2849.797857142857
05-12,2902.7172727272728
04-12,3035.9625
03-12,3033.8706818181818
02-12,2926.01525
01-12,2740.532
12-11,2604.5471428571427
11-11,2607.849761904762
10-11,2590.315
09-11,2525.354523809524
08-11,2506.850652173913
07-11,2810.132
06-11,2688.2959090909094
05-11,2815.244761904762
04-11,2796.5392500000003
03-11,2722.572391304348
02-11,2780.2952631578946
01-11,2716.853
12-10,2630.7677272727265
11-10,2530.055238095238
10-10,2439.409285714286
09-10,2295.233809523809
08-10,2204.8168181818182
07-10,2208.376666666667
06-10,2239.3338636363637
05-10,2322.0790000000006
04-10,2474.5054761904757
03-10,2359.5576086956526
02-10,2191.81
01-10,2271.3465789473685
12-09,2220.1499999999996
11-09,2140.305
10-09,2125.615681818181
09-09,2082.7561904761906
08-09,1996.5483333333336
07-09,1870.090681818182
06-09,1826.0268181818183
05-09,1725.9142500000003
04-09,1635.9050000000002
03-09,1430.2577272727272
02-09,1486.0457894736844
01-09,1538.2812500000005
12-08,1523.3570454545456
11-08,1546.4684210526316
10-08,1735.7747826086957
09-08,2212.4869047619045
08-08,2387.0783333333334
07-08,2276.879545454545
06-08,2430.978571428571
05-08,2481.5688095238097
04-08,2367.043863636364
03-08,2254.9885000000004
02-08,2328.3207500000003
01-08,2419.136428571428
12-07,2663.7797499999997
11-07,2667.5292857142854
10-07,2779.234347826087
09-07,2632.5094736842107
08-07,2539.241739130435
07-07,2656.657380952381
06-07,2595.5076190476193
05-07,2560.602272727273
04-07,2498.0382500000005
03-07,2401.191590909091
02-07,2481.092368421053
01-07,2451.9749999999995
12-06,2432.68075
11-06,2406.9483333333333
10-06,2326.742045454546
09-06,2220.42875
08-06,2116.84347826087
07-06,2087.5315
06-06,2138.695
05-06,2248.9036363636365
04-06,2339.635789473684
03-06,2299.269782608696
02-06,2273.8997368421055
01-06,2288.17775
12-05,2247.4228571428575
11-05,2200.754523809524
10-05,2088.3969047619053
09-05,2145.057142857143
08-05,2158.260217391304
07-05,2141.73325
06-05,2074.768181818182
05-05,2001.84380952381
04-05,1960.0280952380951
03-05,2032.5088636363632
02-05,2065.5918421052634
01-05,2076.6014999999998
12-04,2147.904318181818
11-04,2061.0376190476186
10-04,1936.9071428571426
09-04,1882.9661904761906
08-04,1821.4172727272728
07-04,1916.0733333333333
06-04,2000.087142857143
05-04,1929.1067500000001
04-04,2024.5585714285717
03-04,1981.2071739130438
02-04,2050.5478947368424
01-04,2097.8092500000002
12-03,1957.147727272727
11-03,1939.6018421052631
10-03,1906.1406521739136
09-03,1856.2749999999996
08-03,1723.7376190476189
07-03,1716.1813636363638
06-03,1632.7640476190475
05-03,1520.7954761904762
04-03,1409.475
03-03,1346.3840476190478
02-03,1313.242894736842
