05-22,33292.48375
04-22,34353.542250000006
03-22,34018.61934782609
02-22,34667.99842105264
01-22,35477.137749999994
12-21,35613.35204545454
11-21,35874.69928571428
10-21,35016.85523809523
09-21,34728.33023809524
08-21,35236.58454545455
07-21,34784.80357142857
06-21,34296.69045454546
05-21,34258.22424999999
04-21,33779.03285714286
03-21,32336.688043478258
02-21,31259.840526315787
01-21,30840.1702631579
12-20,30138.359318181818
11-20,29101.2075
10-20,28029.405227272728
09-20,27756.86404761905
08-20,27791.951190476197
07-20,26385.396590909095
06-20,26067.865909090906
05-20,24274.563000000002
04-20,23286.647142857146
03-20,22632.46318181818
02-20,28612.91075
01-20,28870.444047619047
12-19,28167.775
11-19,27778.311999999998
10-19,26738.115217391307
09-19,26900.694
08-19,26073.19431818182
07-19,27086.981590909094
06-19,26140.923499999997
05-19,25752.007272727267
04-19,26390.741190476194
03-19,25722.481904761906
02-19,25580.776842105257
01-19,24122.838095238094
12-18,23862.74605263158
11-18,25239.902142857147
10-18,25646.205652173918
09-18,26228.611315789472
08-18,25622.89065217392
07-18,24952.545238095237
06-18,24795.31357142857
05-18,24564.411590909094
04-18,24316.079047619045
03-18,24615.561904761904
02-18,25017.86675
01-18,25786.137619047626
12-17,24553.761749999998
11-17,23541.265952380953
10-17,23021.18840909091
09-17,22166.70075
08-17,21915.83652173913
07-17,21572.98725
06-17,21314.035227272725
05-17,20934.579545454544
04-17,20685.002894736845
03-17,20828.23608695652
02-17,20401.568421052634
01-17,19906.943999999996
12-16,19702.90119047619
11-16,18675.98880952381
10-16,18192.38071428572
09-16,18268.466428571428
08-16,18496.733695652172
07-16,18330.150499999996
06-16,17750.813863636362
05-16,17692.783095238097
04-16,17841.613095238095
03-16,17274.267954545452
02-16,16300.157000000001
01-16,16332.123421052633
12-15,17549.882499999996
11-15,17721.21425
10-15,17152.092727272728
09-15,16346.566190476191
08-15,17088.17428571428
07-15,17795.322272727273
06-15,17936.547727272726
05-15,18120.80425
04-15,17968.85761904762
03-15,17939.142272727277
02-15,17920.065789473687
01-15,17558.55625
12-14,17754.975454545453
11-14,17637.387368421056
10-14,16694.00934782609
09-14,17098.5280952381
08-14,16762.904047619046
07-14,16994.3075
06-14,16840.53214285714
05-14,16564.183333333334
04-14,16396.920000000002
03-14,16305.731904761904
02-14,15941.462894736844
01-14,16265.594523809523
12-13,16084.92857142857
11-13,15857.479499999998
10-13,15280.309130434782
09-13,15262.410750000001
08-13,15210.797954545456
07-13,15376.763181818184
06-13,15041.55025
05-13,15165.237272727274
04-13,14669.971363636363
03-13,14405.15675
02-13,13962.227105263159
01-13,13597.24023809524
12-12,13141.749749999999
11-12,12896.907142857142
10-12,13388.199047619048
09-12,13409.048421052632
08-12,13132.203043478261
07-12,12810.490000000002
06-12,12533.190476190473
05-12,12738.392272727273
04-12,13030.11425
03-12,13073.19409090909
02-12,12879.899250000002
01-12,12539.947
12-11,12071.321904761904
11-11,11801.16380952381
10-11,11490.785952380955
09-11,11191.670238095236
08-11,11337.141304347826
07-11,12518.356499999998
06-11,12100.437727272727
05-11,12584.691904761907
04-11,12422.328249999999
03-11,12079.08608695652
02-11,12180.059210526315
01-11,11794.15075
12-10,11451.93090909091
11-10,11199.336666666666
10-10,11036.521666666667
09-10,10579.56
08-10,10358.134090909092
07-10,10205.620714285715
06-10,10167.210227272728
05-10,10520.76425
04-10,11048.115714285714
03-10,10665.694782608694
02-10,10206.909999999998
01-10,10480.384473684211
12-09,10431.2125
11-09,10210.60025
10-09,9857.498863636365
09-09,9629.33595238095
08-09,9366.421666666667
07-09,8662.936590909092
06-09,8593.84159090909
05-09,8389.25725
04-09,7978.375714285714
03-09,7222.918181818183
02-09,7713.972894736843
01-09,8414.272500000001
12-08,8587.00931818182
11-08,8625.362894736842
10-08,9198.385000000002
09-08,11133.670714285712
08-08,11516.91761904762
07-08,11319.22977272727
06-08,12081.015
05-08,12812.637142857144
04-08,12653.22772727273
03-08,12195.11075
02-08,12420.7235
01-08,12532.17880952381
12-07,13409.072250000001
11-07,13207.396428571428
10-07,13900.468695652173
09-07,13543.186842105262
08-07,13235.701739130436
07-07,13681.909047619049
06-07,13484.954047619052
05-07,13394.01977272727
04-07,12736.57175
03-07,12266.136590909091
02-07,12639.690526315791
01-07,12508.3795
12-06,12371.141749999999
11-06,12180.484285714288
10-06,11953.47409090909
09-06,11525.752999999999
08-06,11252.42608695652
07-06,11031.482
06-06,10998.258181818184
05-06,11337.735681818182
04-06,11226.902894736842
03-06,11141.662391304348
02-06,10966.815789473685
01-06,10868.62275
12-05,10829.437380952382
11-05,10685.758095238094
10-05,10327.085238095236
09-05,10530.336428571427
08-05,10556.961521739131
07-05,10535.58425
06-05,10490.78318181818
05-05,10369.910952380953
04-05,10290.35238095238
03-05,10687.933863636363
02-05,10715.70947368421
01-05,10546.8205
12-04,10665.33840909091
11-04,10401.64880952381
10-04,10002.69357142857
09-04,10206.418333333333
08-04,10031.40181818182
07-04,10158.590952380953
06-04,10358.683333333334
05-04,10084.239500000001
04-04,10421.36642857143
03-04,10328.290434782608
02-04,10598.487105263155
01-04,10539.02225
12-03,10109.26659090909
11-03,9762.214473684211
10-03,9670.86
09-03,9495.52119047619
08-03,9280.176428571429
07-03,9149.068409090909
06-03,9094.787619047618
05-03,8613.877619047616
04-03,8320.53238095238
03-03,7974.790238095238
02-03,7920.045000000001
01-03,8481.185476190478
12-02,8539.474523809526
11-02,8612.638249999998
10-02,8030.524130434784
09-02,8187.582
08-02,8686.517272727275
07-02,8630.572499999997
