city,date,cpi,violent crime,property crime,patents,population,unemployment,case shiller,education and health,medical care,motor fuel,income,food and bev,DOW,SP500,NASDAQ
atlanta,01-91,135.5,16289.0,60109.0,30.0,663.021,7.5,69.61946151298001,0.1822421394151739,187.8,87.5,26197.0,135.3,2587.6013636363637,325.4854545454545,376.68136363636364
atlanta,02-91,135.61666666666667,16289.0,60109.0,17.0,664.2499166666666,8.0,69.469662049708,0.18260923932053985,189.08333333333334,87.36666666666667,26362.916666666668,135.3,2863.04052631579,362.2631578947369,442.58684210526314
atlanta,03-91,135.73333333333332,16289.0,60109.0,24.0,665.4788333333333,7.9,69.32466163420901,0.18295991801848843,190.36666666666667,87.23333333333333,26528.833333333336,135.3,2920.1114999999995,372.279,469.10099999999994
atlanta,04-91,135.85,16289.0,60109.0,38.0,666.70775,7.4,69.718664344301,0.18223665859269073,191.65,87.1,26694.750000000004,135.3,2925.5395454545455,379.67909090909086,496.3190909090909
atlanta,05-91,135.96666666666667,16289.0,60109.0,35.0,667.9366666666666,7.9,69.796970257295,0.1837625090644218,192.93333333333334,86.96666666666667,26860.66666666667,135.3,2928.4222727272722,377.9927272727273,490.9336363636363
atlanta,06-91,136.08333333333331,16289.0,60109.0,39.0,669.1655833333333,8.6,70.05309180848,0.1835594924434189,194.21666666666667,86.83333333333334,27026.583333333336,135.3,2968.135,378.293,490.3750000000001
atlanta,07-91,136.2,16289.0,60109.0,33.0,670.3945,7.5,69.91454873077,0.18436458412876894,195.5,86.7,27192.500000000004,135.3,2978.1877272727274,380.2268181818181,489.34363636363634
atlanta,08-91,136.6,16289.0,60109.0,27.0,671.6234166666667,7.2,70.088140696569,0.184972143206538,196.6,86.2,27358.41666666667,135.38333333333335,3006.087727272727,389.40318181818185,513.2509090909091
atlanta,09-91,137.0,16289.0,60109.0,29.0,672.8523333333334,7.2,70.040121764585,0.1858375851780247,197.7,85.7,27524.333333333336,135.4666666666667,3010.3545,387.1985,520.5595000000001
atlanta,10-91,137.39999999999998,16289.0,60109.0,24.0,674.08125,7.1,70.142007410321,0.1847980924573232,198.79999999999998,85.2,27690.25,135.55,3019.7360869565223,386.88347826086965,528.9239130434781
atlanta,11-91,137.79999999999998,16289.0,60109.0,37.0,675.3101666666666,6.5,70.120244516018,0.18504187472716613,199.89999999999998,84.7,27856.166666666668,135.63333333333335,2986.1245,385.91949999999997,536.5835
atlanta,12-91,138.2,16289.0,60109.0,28.0,676.5390833333333,6.7,70.009107122029,0.18638522100238014,201.0,84.2,28022.083333333336,135.7166666666667,2958.6419047619047,388.51047619047614,542.765
atlanta,01-92,138.6,15856.0,55419.0,25.0,677.768,7.7,70.067844194073,0.18636166915961064,202.1,83.7,28188.0,135.8,3227.0600000000004,416.0759090909091,614.8972727272727
atlanta,02-92,138.58333333333331,15856.0,55419.0,35.0,679.3039166666667,10.8,70.172736925566,0.18664650139824895,202.3,84.33333333333334,28272.916666666668,135.78333333333333,3257.273157894737,412.5573684210526,631.9126315789473
atlanta,03-92,138.56666666666666,15856.0,55419.0,44.0,680.8398333333333,9.9,70.226180072369,0.18690917423310918,202.5,84.96666666666667,28357.833333333336,135.76666666666665,3247.418636363637,407.36454545454546,620.5311363636364
atlanta,04-92,138.55,15856.0,55419.0,42.0,682.37575,9.7,70.218267435182,0.18712861560890315,202.7,85.6,28442.750000000004,135.75,3293.614761904762,407.4066666666667,583.6407142857142
atlanta,05-92,138.53333333333333,15856.0,55419.0,45.0,683.9116666666666,9.6,70.389572564431,0.18747894183380265,202.9,86.23333333333333,28527.66666666667,135.73333333333332,3376.7854999999995,414.81450000000007,581.4507500000001
atlanta,06-92,138.51666666666665,15856.0,55419.0,35.0,685.4475833333333,10.6,70.499924762585,0.18756785121327996,203.10000000000002,86.86666666666667,28612.583333333336,135.71666666666664,3337.7913636363646,408.27409090909083,567.3193181818182
atlanta,07-92,138.5,15856.0,55419.0,49.0,686.9835,10.1,71.079205221132,0.1885861274940737,203.3,87.5,28697.500000000004,135.7,3329.408181818182,415.0513636363636,568.4649999999999
atlanta,08-92,139.11666666666667,15856.0,55419.0,37.0,688.5194166666666,9.7,71.135226151902,0.1889127751094708,204.56666666666666,87.13333333333333,28782.41666666667,136.14999999999998,3307.4538095238095,417.92666666666673,569.535238095238
atlanta,09-92,139.73333333333332,15856.0,55419.0,41.0,690.0553333333334,9.1,71.28958668455,0.18955572489741884,205.83333333333334,86.76666666666667,28867.333333333336,136.6,3293.9199999999996,418.4771428571428,580.2538095238097
atlanta,10-92,140.35,15856.0,55419.0,27.0,691.59125,8.8,71.02813244204,0.19056082781206243,207.10000000000002,86.4,28952.25,137.05,3198.695909090909,412.5027272727273,584.6547727272728
atlanta,11-92,140.96666666666667,15856.0,55419.0,42.0,693.1271666666667,8.7,71.362146102499,0.19097624896294213,208.36666666666667,86.03333333333333,29037.166666666668,137.5,3238.49,422.84400000000005,629.899
atlanta,12-92,141.58333333333331,15856.0,55419.0,41.0,694.6630833333332,8.5,71.431787886088,0.1909596601695153,209.63333333333333,85.66666666666666,29122.083333333336,137.95,3303.15,435.63954545454544,660.7859090909092
atlanta,01-93,142.2,16281.0,53633.0,41.0,696.199,9.1,71.534230302436,0.1909015321350304,210.9,85.3,29207.0,138.4,3277.703,435.229,690.7062500000002
atlanta,02-93,142.61666666666665,16281.0,53633.0,32.0,697.92525,8.9,71.53293734779601,0.1914935761195787,211.6,85.48333333333333,29297.5,138.78333333333333,3367.26,441.7042105263158,682.7031578947368
