atlanta,boston,chicago,cleveland,dallas,denver,detroit,la,miami,minneapolis,nyc,phoenix,portland,sf,seattle,tampa,dc,date,cpi,crimes_reported,crimes_cleared,patents,population,unemployment,case_shiller,dow,nasdaq,sp,label
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-99,164.8,11226,5093,129,811.3541666666666,5.4,96.263071055247,120.894846395993,10704.017727272729,2518.313181818181,1322.5527272727272
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07-99,165.35000000000002,11226,5093,127,812.152,5.6,96.91423636278401,121.29029397504401,11052.217142857144,2744.031428571429,1380.9899999999998
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08-99,165.9,11226,5093,132,812.9498333333333,5.4,97.326807509674,121.72476879024599,10935.473181818183,2644.635,1327.4886363636363
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09-99,166.2,11226,5093,144,813.7476666666666,5.0,97.787823208804,122.242802938462,10714.034285714286,2811.357857142857,1318.171904761905
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10-99,166.5,11226,5093,141,814.5455,4.7,98.49603681423099,122.724436121495,10396.882857142857,2813.2890476190473,1300.01
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11-99,166.75,11226,5093,119,815.3433333333332,4.5,99.085128598051,123.23302348891501,10809.755238095238,3228.7795238095237,1391.002857142857
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12-99,167.0,11226,5093,115,816.1411666666667,4.4,99.926249958124,123.948586678609,11246.359090909093,3737.391818181818,1428.6836363636367
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01-05,184.25,7213,3386,261,934.242,7.4,124.636502286276,109.269682138468,10546.8205,2076.6014999999998,1181.4080000000001
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02-05,185.3,7213,3386,258,936.6655,7.6,125.4442939158,108.722141081316,10715.70947368421,2065.5918421052634,1199.626842105263
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03-05,186.65,7213,3386,322,939.0889999999999,7.0,126.19051781309601,107.020944633513,10687.933863636363,2032.5088636363632,1194.8977272727275
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04-05,188.0,7213,3386,335,941.5124999999999,6.8,127.00678141844999,107.612534908364,10290.35238095238,1960.0280952380951,1164.4233333333334
