DATE,CUUSA423SA0
1990-01-01,124.200
1990-07-01,129.400
1991-01-01,133.000
1991-07-01,135.200
1992-01-01,137.800
1992-07-01,140.200
1993-01-01,141.900
1993-07-01,143.900
1994-01-01,146.400
1994-07-01,149.200
1995-01-01,151.200
1995-07-01,153.300
1996-01-01,155.600
1996-07-01,159.400
1997-01-01,161.900
1997-07-01,164.100
