DATE,CUUSA319SA0
1991-01-01,135.500
1991-07-01,136.200
1992-01-01,138.600
1992-07-01,138.500
1993-01-01,142.200
1993-07-01,144.700
1994-01-01,146.700
1994-07-01,146.700
1995-01-01,150.300
1995-07-01,151.500
1996-01-01,154.700
1996-07-01,157.200
1997-01-01,158.300
1997-07-01,159.500
