DATE,CUURA103SA0
2016-07-01,260.800
2016-08-01,.
2016-09-01,262.606
2016-10-01,.
2016-11-01,261.675
2016-12-01,.
2017-01-01,264.865
2017-02-01,.
2017-03-01,265.070
2017-04-01,.
2017-05-01,266.256
2017-06-01,.
2017-07-01,266.429
2017-08-01,.
2017-09-01,269.757
2017-10-01,.
2017-11-01,269.149
2017-12-01,.
2018-01-01,272.229
2018-02-01,.
2018-03-01,274.591
2018-04-01,.
2018-05-01,274.668
2018-06-01,.
2018-07-01,275.402
2018-08-01,.
2018-09-01,278.663
2018-10-01,.
2018-11-01,277.632
2018-12-01,.
2019-01-01,278.976
2019-02-01,.
2019-03-01,280.393
2019-04-01,.
2019-05-01,280.937
2019-06-01,.
2019-07-01,280.943
2019-08-01,.
2019-09-01,281.603
2019-10-01,.
2019-11-01,283.526
2019-12-01,.
2020-01-01,285.181
2020-02-01,.
2020-03-01,285.544
2020-04-01,.
2020-05-01,282.620
2020-06-01,.
2020-07-01,283.175
2020-08-01,.
2020-09-01,283.391
2020-10-01,.
2020-11-01,284.622
2020-12-01,.
2021-01-01,286.615
2021-02-01,.
2021-03-01,289.240
2021-04-01,.
2021-05-01,291.667
2021-06-01,.
2021-07-01,295.211
2021-08-01,.
2021-09-01,294.784
2021-10-01,.
2021-11-01,299.723
2021-12-01,.
2022-01-01,304.634
2022-02-01,.
2022-03-01,310.311
