"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",57562,57190,62875,56767,51023,49571,46706,43447,38802,36767,35675,37459,36612,38163,35869,34269,36992,34456,36301,34509,32365,32886,38898,48324,45093,53019,47402,54356,49214,48780,38737
"Cleared",8340,8093,7405,6674,5610,5590,5765,5222,4761,4068,3890,4387,4162,4583,3663,2825,3548,3159,3928,3692,3212,3094,2803,3761,4315,3564,3321,3198,3235,3079,2338
