"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",2767,36226,35699,33982,34337,34223,34018,34899,29097,25794,23085,22719,22507,20405,20238,22417,22561,22543,20777,17859,18299,19190,19359,19358,19123,17341,17594,19446,16750,19507,19833
"Cleared",482,1143,4304,4247,3884,0,0,1786,0,0,2958,0,0,0,2439,1959,1927,1868,1803,2540,2281,2566,2655,2769,2651,2334,2011,2050,1211,1260,717
