"series",1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",51146,41280,37183,33392,32982,35191,35238,31581,25835,25200,26015,27719,28759,27007,27138,28312,29264,29569,33027,30359,31661,28843,29993,29965,24459
"Cleared",2295,2582,2456,1772,1541,1569,1548,1707,1293,2015,2140,2324,2359,2063,2093,2079,2360,2425,2475,1867,3083,3454,3327,3616,2557
