"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",228829,231318,213731,207422,205001,197923,194058,193848,189372,178651,164181,151156,147177,144622,140602,131183,129718,126298,131053,120407,120045,118239,112466,97476,85351,80505,87136,88324,86822,81010,59530
"Cleared",36632,0,40333,37358,37588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
