"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",32064,31524,34873,34544,30728,30412,30482,26979,24111,23877,23417,27198,28921,29064,30450,33853,26239,22398,19348,20867,20686,22493,23346,23755,22405,24181,25164,25998,26757,27336,34294
"Cleared",3718,3491,3966,3646,3466,3695,3963,3809,3042,2815,3338,3149,3292,3133,2603,5102,1800,1080,1892,2104,1707,1803,1966,3723,4486,4242,4259,3931,3784,3832,3317
