"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",97578,98818,90799,93971,94356,95054,96949,97214,93484,79585,73649,69246,65095,64809,57415,54092,62375,58161,54057,50929,47809,43759,41010,40558,32995,30508,31769,30505,28980,28611,21178
"Cleared",10181,9572,7945,6403,6277,0,6317,5840,5596,6105,6396,5800,5447,7642,3896,3154,3304,3258,2895,2120,1885,1844,1443,1430,1049,860,950,997,1137,1605,1276
