"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",40709,42160,43224,43320,45907,46515,42471,45452,39360,35105,35245,38627,38815,41951,41495,37645,31996,31586,29243,26495,28391,30022,30454,29633,32229,7848,33321,36891,36132,34629,31416
"Cleared",5455,5494,5517,6005,6064,6161,5881,6150,5069,0,0,0,4977,5209,5357,4885,4423,4508,4711,4579,3714,3489,3650,4034,3697,897,2907,2542,2612,3053,2023
