"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",36895,36269,34004,31695,30001,30515,29778,29782,28112,27524,26543,26641,26845,26078,27128,28717,28431,27139,25159,24206,23512,25418,24462,23267,21216,15537,20808,19068,17117,17161,15435
"Cleared",6337,6895,6857,6367,5888,6205,6037,5716,4096,2123,1849,1999,2147,1284,2020,1990,1950,1821,1888,1800,1619,1685,1530,1385,1160,815,467,466,429,526,498
