"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",57273,57987,58073,55242,51367,50603,51093,51638,48395,45594,40967,41941,42340,46306,42797,43471,39532,33960,32820,35090,33186,31792,32319,35964,40771,37745,38442,37513,38247,37261,37593
"Cleared",10058,9977,9574,8938,7857,7716,8710,7119,4553,6262,5392,4765,4272,4907,5628,5181,4070,4786,885,3763,3857,3237,2901,3673,3335,3388,3508,2959,3014,2446,1380
