"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",54393,50210,44727,44712,42414,42709,35557,29952,27554,27815,28548,30024,28750,27876,27616,25205,25094,24579,22429,20749,20628,19445,18349,17853,17269,15408,14489,14266,14007,13356,13015
"Cleared",13246,11798,10302,8618,8259,6350,7208,6179,5901,5566,5494,5594,6276,5831,4955,3852,2696,2809,2453,2238,2243,1965,1761,1776,1861,1379,1325,1191,1271,939,396
