"series",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",89008,93230,95022,97900,94066,88955,85592,83962,75759,71364,64125,61859,54300,52274,45669,44791,44910,42634,44516,47184,46974
"Cleared",14643,15285,15070,14916,14301,12640,10949,11255,10422,8965,7932,7730,5875,5616,4896,4089,3236,3106,2263,2109,1508
