"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",52602,52025,51424,55326,52298,46243,40928,39236,35417,32187,31879,28081,26724,26370,24505,23321,20288,21183,22198,20778,21218,22921,22271,20928,20394,19128,18974,18586,16837,17624,13092
"Cleared",7164,6265,5485,5498,5820,4216,0,0,4486,3261,3156,3620,3427,2873,2971,2389,1950,1875,2174,2005,2165,2346,2404,2101,2014,1790,1849,1644,1857,1857,1404
