"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",38639,37221,36267,35994,41248,32377,34184,28776,28417,25413,27285,28232,29091,28449,24835,20271,18789,16775,15498,12960,11453,10393,9947,8823,8670,8366,7800,6702,6576,6523,5561
"Cleared",0,5677,5389,5162,4941,4335,0,0,4813,4085,4586,4115,4008,3960,4064,3870,3513,3248,3344,2972,2847,2519,2470,2343,2322,1973,2036,1738,1851,1674,1503
