"series",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",60109,55419,53633,51596,54267,56822,45761,45505,44251,43885,41387,39482,38231,33185,31397,32231,36232,38978,34349,30800,30144,28554,27528,26114,25556,24804,22991,23091,16518,5923
"Cleared",0,10821,10439,10924,10340,10074,8209,7324,7266,6985,6428,5923,4569,4256,4699,4445,4669,4792,5848,4705,4590,4410,3783,3874,3342,3005,2704,2727,2042,274
