"series",1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",102,98,177,120,183,202,184,267,277,297,318,246,218,227,189,186,239,239,172,159,129,134,81,107,138,133,120,104,131,172,197,242,239,227
"Cleared",9,20,74,47,94,112,80,104,92,97,119,84,63,68,55,56,50,49,42,55,43,40,21,20,29,27,17,22,29,32,38,42,53,53
