"series",1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",508192,555567,542932,535680,508465,466604,446803,393598,329605,283895,263031,237259,220532,212619,195490,186791,176767,171188,162509,153436,149488,149989,142000,139615,140457,142760,141971,135747,129860,125278,124815,128051,122299,129361
"Cleared",51597,55072,43932,45658,44358,39024,32696,34385,15971,35051,36671,33582,27930,28072,27560,25082,0,0,0,0,0,0,0,0,0,0,34350,33769,33018,30291,28740,29987,28318,10740
