sf,01-90,3.7
sf,02-90,3.4
sf,03-90,3.2
sf,04-90,3.4
sf,05-90,3.4
sf,06-90,3.6
sf,07-90,4.4
sf,08-90,4.3
sf,09-90,4.1
sf,10-90,3.9
sf,11-90,3.9
sf,12-90,3.7
sf,01-91,4.8
sf,02-91,5.2
sf,03-91,5.0
sf,04-91,4.8
sf,05-91,5.2
sf,06-91,5.7
sf,07-91,6.1
sf,08-91,6.1
sf,09-91,6.0
sf,10-91,5.6
sf,11-91,5.3
sf,12-91,5.1
sf,01-92,6.5
sf,02-92,6.3
sf,03-92,6.5
sf,04-92,6.4
sf,05-92,6.8
sf,06-92,7.3
sf,07-92,7.6
sf,08-92,7.6
sf,09-92,7.4
sf,10-92,6.6
sf,11-92,6.8
sf,12-92,6.3
sf,01-93,7.0
sf,02-93,7.0
sf,03-93,7.1
sf,04-93,7.0
sf,05-93,7.0
sf,06-93,7.5
sf,07-93,7.8
sf,08-93,7.6
sf,09-93,7.2
sf,10-93,7.0
sf,11-93,6.7
sf,12-93,6.1
sf,01-94,7.3
sf,02-94,6.9
sf,03-94,6.8
sf,04-94,6.6
sf,05-94,6.2
sf,06-94,6.7
sf,07-94,7.1
sf,08-94,7.0
sf,09-94,6.5
sf,10-94,6.1
sf,11-94,5.5
sf,12-94,5.1
sf,01-95,5.9
sf,02-95,5.8
sf,03-95,5.8
sf,04-95,6.1
sf,05-95,6.0
sf,06-95,6.5
sf,07-95,6.9
sf,08-95,6.7
sf,09-95,6.4
sf,10-95,5.8
sf,11-95,5.4
sf,12-95,5.0
sf,01-96,5.8
sf,02-96,5.2
sf,03-96,5.0
sf,04-96,4.9
sf,05-96,5.0
sf,06-96,5.1
sf,07-96,5.7
sf,08-96,5.0
sf,09-96,4.7
sf,10-96,4.3
sf,11-96,4.0
sf,12-96,3.7
sf,01-97,4.3
sf,02-97,3.9
sf,03-97,4.0
sf,04-97,3.9
sf,05-97,3.9
sf,06-97,4.5
sf,07-97,4.7
sf,08-97,4.7
sf,09-97,4.5
sf,10-97,4.0
sf,11-97,3.6
sf,12-97,3.4
sf,01-98,3.9
sf,02-98,3.6
sf,03-98,3.9
sf,04-98,3.4
sf,05-98,3.4
sf,06-98,4.0
sf,07-98,4.2
sf,08-98,4.2
sf,09-98,3.9
sf,10-98,3.6
sf,11-98,3.2
sf,12-98,2.9
sf,01-99,3.5
sf,02-99,3.2
sf,03-99,3.1
sf,04-99,3.0
sf,05-99,2.8
sf,06-99,3.3
sf,07-99,3.5
sf,08-99,3.4
sf,09-99,3.1
sf,10-99,2.9
sf,11-99,2.7
sf,12-99,2.4
sf,01-00,3.6
sf,02-00,3.4
sf,03-00,3.4
sf,04-00,3.1
sf,05-00,3.1
sf,06-00,3.6
sf,07-00,3.7
sf,08-00,3.6
sf,09-00,3.3
sf,10-00,3.2
sf,11-00,3.2
sf,12-00,3.0
sf,01-01,3.9
sf,02-01,3.9
sf,03-01,4.2
sf,04-01,4.2
sf,05-01,4.3
sf,06-01,5.2
sf,07-01,5.4
sf,08-01,5.9
sf,09-01,5.7
sf,10-01,6.4
sf,11-01,6.5
sf,12-01,6.2
sf,01-02,7.3
sf,02-02,7.0
sf,03-02,7.1
sf,04-02,6.9
sf,05-02,6.6
sf,06-02,7.3
sf,07-02,7.3
sf,08-02,7.2
sf,09-02,6.9
sf,10-02,6.9
sf,11-02,6.8
sf,12-02,6.6
sf,01-03,7.2
sf,02-03,7.0
sf,03-03,7.1
sf,04-03,6.8
sf,05-03,6.7
sf,06-03,7.6
sf,07-03,7.2
sf,08-03,7.0
sf,09-03,6.6
sf,10-03,6.4
sf,11-03,6.2
sf,12-03,5.7
sf,01-04,6.4
sf,02-04,6.1
sf,03-04,6.3
sf,04-04,5.9
sf,05-04,5.5
sf,06-04,5.9
sf,07-04,6.0
sf,08-04,5.8
sf,09-04,5.3
sf,10-04,5.4
sf,11-04,5.7
sf,12-04,5.0
sf,01-05,5.5
sf,02-05,5.4
sf,03-05,5.4
sf,04-05,5.0
sf,05-05,4.7
sf,06-05,5.1
sf,07-05,5.1
sf,08-05,5.0
sf,09-05,4.8
sf,10-05,4.7
sf,11-05,4.8
sf,12-05,4.2
sf,01-06,4.6
sf,02-06,4.6
sf,03-06,4.4
sf,04-06,4.1
sf,05-06,3.9
sf,06-06,4.3
sf,07-06,4.5
sf,08-06,4.4
sf,09-06,4.0
sf,10-06,3.8
sf,11-06,4.0
sf,12-06,3.7
sf,01-07,4.4
sf,02-07,4.1
sf,03-07,4.2
sf,04-07,4.0
sf,05-07,3.8
sf,06-07,4.3
sf,07-07,4.5
sf,08-07,4.5
sf,09-07,4.2
sf,10-07,4.1
sf,11-07,4.1
sf,12-07,4.2
sf,01-08,4.5
sf,02-08,4.3
sf,03-08,4.6
sf,04-08,4.3
sf,05-08,4.7
sf,06-08,5.3
sf,07-08,5.6
sf,08-08,5.9
sf,09-08,5.6
sf,10-08,5.8
sf,11-08,6.1
sf,12-08,6.5
sf,01-09,7.9
sf,02-09,8.2
sf,03-09,8.7
sf,04-09,8.5
sf,05-09,8.8
sf,06-09,9.7
sf,07-09,9.7
sf,08-09,9.8
sf,09-09,9.5
sf,10-09,9.5
sf,11-09,9.3
sf,12-09,9.3
sf,01-10,9.7
sf,02-10,9.4
sf,03-10,9.6
sf,04-10,9.0
sf,05-10,8.7
sf,06-10,9.1
sf,07-10,9.2
sf,08-10,9.2
sf,09-10,8.8
sf,10-10,8.8
sf,11-10,9.1
sf,12-10,8.5
sf,01-11,8.9
sf,02-11,8.6
sf,03-11,8.5
sf,04-11,8.0
sf,05-11,7.9
sf,06-11,8.6
sf,07-11,8.5
sf,08-11,8.4
sf,09-11,8.0
sf,10-11,7.8
sf,11-11,7.6
sf,12-11,7.3
sf,01-12,7.7
sf,02-12,7.6
sf,03-12,7.4
sf,04-12,6.8
sf,05-12,6.9
sf,06-12,7.3
sf,07-12,7.3
sf,08-12,7.0
sf,09-12,6.4
sf,10-12,6.3
sf,11-12,6.1
sf,12-12,6.0
sf,01-13,6.5
sf,02-13,6.0
sf,03-13,5.8
sf,04-13,5.3
sf,05-13,5.4
sf,06-13,5.9
sf,07-13,5.8
sf,08-13,5.5
sf,09-13,5.3
sf,10-13,5.3
sf,11-13,5.0
sf,12-13,4.6
sf,01-14,5.0
sf,02-14,4.9
sf,03-14,5.0
sf,04-14,4.2
sf,05-14,4.3
sf,06-14,4.5
sf,07-14,4.7
sf,08-14,4.6
sf,09-14,4.2
sf,10-14,4.1
sf,11-14,4.0
sf,12-14,3.7
sf,01-15,4.2
sf,02-15,3.9
sf,03-15,3.9
sf,04-15,3.6
sf,05-15,3.6
sf,06-15,3.8
sf,07-15,3.9
sf,08-15,3.7
sf,09-15,3.4
sf,10-15,3.5
sf,11-15,3.4
sf,12-15,3.2
sf,01-16,3.4
sf,02-16,3.4
sf,03-16,3.5
sf,04-16,3.2
sf,05-16,3.0
sf,06-16,3.5
sf,07-16,3.5
sf,08-16,3.4
sf,09-16,3.3
sf,10-16,3.3
sf,11-16,3.1
sf,12-16,3.0
sf,01-17,3.4
sf,02-17,3.2
sf,03-17,3.0
sf,04-17,2.8
sf,05-17,2.8
sf,06-17,3.2
sf,07-17,3.2
sf,08-17,3.2
sf,09-17,2.8
sf,10-17,2.7
sf,11-17,2.6
sf,12-17,2.5
sf,01-18,2.8
sf,02-18,2.6
sf,03-18,2.5
sf,04-18,2.2
sf,05-18,2.1
sf,06-18,2.6
sf,07-18,2.5
sf,08-18,2.5
sf,09-18,2.3
sf,10-18,2.3
sf,11-18,2.2
sf,12-18,2.3
sf,01-19,2.7
sf,02-19,2.4
sf,03-19,2.4
sf,04-19,2.0
sf,05-19,2.0
sf,06-19,2.4
sf,07-19,2.4
sf,08-19,2.3
sf,09-19,2.0
sf,10-19,2.1
sf,11-19,2.1
sf,12-19,2.0
sf,01-20,2.3
sf,02-20,2.2
sf,03-20,3.5
sf,04-20,12.8
sf,05-20,13.3
sf,06-20,12.1
sf,07-20,11.3
sf,08-20,9.4
sf,09-20,8.8
sf,10-20,7.6
sf,11-20,7.0
sf,12-20,6.7
sf,01-21,6.6
sf,02-21,6.2
sf,03-21,6.0
sf,04-21,6.0
sf,05-21,5.4
sf,06-21,5.9
sf,07-21,5.4
sf,08-21,5.0
sf,09-21,4.1
sf,10-21,3.8
sf,11-21,3.3
sf,12-21,3.0
sf,01-22,3.5
sf,02-22,3.0
sf,03-22,2.5
