detroit,01-90,14.8
detroit,02-90,14.9
detroit,03-90,14.4
detroit,04-90,13.7
detroit,05-90,13.8
detroit,06-90,14.1
detroit,07-90,16.0
detroit,08-90,15.7
detroit,09-90,14.5
detroit,10-90,15.3
detroit,11-90,15.9
detroit,12-90,16.2
detroit,01-91,18.2
detroit,02-91,19.1
detroit,03-91,19.0
detroit,04-91,18.2
detroit,05-91,17.4
detroit,06-91,18.0
detroit,07-91,17.8
detroit,08-91,17.2
detroit,09-91,16.9
detroit,10-91,17.8
detroit,11-91,17.5
detroit,12-91,16.9
detroit,01-92,19.1
detroit,02-92,19.1
detroit,03-92,18.2
detroit,04-92,16.2
detroit,05-92,16.8
detroit,06-92,17.5
detroit,07-92,20.1
detroit,08-92,18.0
detroit,09-92,17.7
detroit,10-92,16.7
detroit,11-92,16.0
detroit,12-92,14.9
detroit,01-93,16.1
detroit,02-93,14.4
detroit,03-93,13.7
detroit,04-93,12.4
detroit,05-93,13.3
detroit,06-93,14.7
detroit,07-93,14.7
detroit,08-93,12.9
detroit,09-93,13.2
detroit,10-93,12.9
detroit,11-93,12.2
detroit,12-93,12.0
detroit,01-94,13.9
detroit,02-94,13.1
detroit,03-94,12.4
detroit,04-94,10.9
detroit,05-94,10.5
detroit,06-94,11.1
detroit,07-94,12.3
detroit,08-94,11.1
detroit,09-94,10.1
detroit,10-94,9.4
detroit,11-94,7.9
detroit,12-94,7.2
detroit,01-95,10.3
detroit,02-95,9.4
detroit,03-95,10.1
detroit,04-95,9.6
detroit,05-95,9.4
detroit,06-95,10.6
detroit,07-95,11.6
detroit,08-95,10.5
detroit,09-95,10.3
detroit,10-95,9.0
detroit,11-95,8.4
detroit,12-95,8.2
detroit,01-96,10.5
detroit,02-96,8.9
detroit,03-96,8.8
detroit,04-96,8.2
detroit,05-96,9.6
detroit,06-96,10.2
detroit,07-96,11.4
detroit,08-96,9.6
detroit,09-96,9.7
detroit,10-96,9.6
detroit,11-96,9.4
detroit,12-96,9.3
detroit,01-97,10.9
detroit,02-97,9.3
detroit,03-97,9.3
detroit,04-97,8.1
detroit,05-97,7.7
detroit,06-97,9.0
detroit,07-97,9.8
detroit,08-97,8.4
detroit,09-97,8.9
detroit,10-97,8.1
detroit,11-97,7.2
detroit,12-97,7.0
detroit,01-98,8.9
detroit,02-98,8.0
