dallas,01-90,6.0
dallas,02-90,6.1
dallas,03-90,5.7
dallas,04-90,6.0
dallas,05-90,6.3
dallas,06-90,6.6
dallas,07-90,6.6
dallas,08-90,6.5
dallas,09-90,6.8
dallas,10-90,6.2
dallas,11-90,6.6
dallas,12-90,6.4
dallas,01-91,6.8
dallas,02-91,7.1
dallas,03-91,7.4
dallas,04-91,7.2
dallas,05-91,7.6
dallas,06-91,8.1
dallas,07-91,7.9
dallas,08-91,7.9
dallas,09-91,8.0
dallas,10-91,7.9
dallas,11-91,8.0
dallas,12-91,7.9
dallas,01-92,9.0
dallas,02-92,9.0
dallas,03-92,8.8
dallas,04-92,8.4
dallas,05-92,8.9
dallas,06-92,9.7
dallas,07-92,9.0
dallas,08-92,8.6
dallas,09-92,8.8
dallas,10-92,8.1
dallas,11-92,8.6
dallas,12-92,8.1
dallas,01-93,8.7
dallas,02-93,8.6
dallas,03-93,8.0
dallas,04-93,7.7
dallas,05-93,7.6
dallas,06-93,8.3
dallas,07-93,7.8
dallas,08-93,7.5
dallas,09-93,7.5
dallas,10-93,7.4
dallas,11-93,7.2
dallas,12-93,6.6
dallas,01-94,7.5
dallas,02-94,7.6
dallas,03-94,7.4
dallas,04-94,6.9
dallas,05-94,6.6
dallas,06-94,7.3
dallas,07-94,7.0
dallas,08-94,6.7
dallas,09-94,6.5
dallas,10-94,6.1
dallas,11-94,5.9
dallas,12-94,5.4
dallas,01-95,6.3
dallas,02-95,5.9
dallas,03-95,5.8
dallas,04-95,6.0
dallas,05-95,5.9
dallas,06-95,6.6
dallas,07-95,6.5
dallas,08-95,6.4
dallas,09-95,6.3
dallas,10-95,6.0
dallas,11-95,5.7
dallas,12-95,5.4
dallas,01-96,6.5
dallas,02-96,5.7
dallas,03-96,5.6
dallas,04-96,5.3
dallas,05-96,5.3
dallas,06-96,5.6
dallas,07-96,5.4
dallas,08-96,5.2
dallas,09-96,5.1
dallas,10-96,4.9
dallas,11-96,5.1
dallas,12-96,4.7
dallas,01-97,5.3
dallas,02-97,5.5
dallas,03-97,5.3
dallas,04-97,4.7
dallas,05-97,4.8
dallas,06-97,5.4
dallas,07-97,5.2
dallas,08-97,5.1
dallas,09-97,5.0
dallas,10-97,4.5
dallas,11-97,4.3
dallas,12-97,4.0
dallas,01-98,4.7
dallas,02-98,4.5
dallas,03-98,4.6
dallas,04-98,4.0
dallas,05-98,4.3
dallas,06-98,5.1
dallas,07-98,4.8
dallas,08-98,4.7
dallas,09-98,4.6
dallas,10-98,4.2
dallas,11-98,4.0
dallas,12-98,3.7
dallas,01-99,4.2
dallas,02-99,4.1
dallas,03-99,3.8
dallas,04-99,3.9
dallas,05-99,3.9
dallas,06-99,4.5
dallas,07-99,4.5
dallas,08-99,4.4
dallas,09-99,4.6
dallas,10-99,4.3
dallas,11-99,4.2
dallas,12-99,3.9
dallas,01-00,5.1
dallas,02-00,5.2
dallas,03-00,5.1
dallas,04-00,4.4
dallas,05-00,4.7
dallas,06-00,5.1
dallas,07-00,4.9
dallas,08-00,5.0
dallas,09-00,4.7
dallas,10-00,4.3
dallas,11-00,4.3
dallas,12-00,3.8
dallas,01-01,4.8
dallas,02-01,4.7
dallas,03-01,5.1
dallas,04-01,5.2
dallas,05-01,5.4
dallas,06-01,6.5
dallas,07-01,6.6
dallas,08-01,7.2
dallas,09-01,7.2
dallas,10-01,7.5
dallas,11-01,8.1
dallas,12-01,8.2
dallas,01-02,9.1
dallas,02-02,8.8
dallas,03-02,8.7
dallas,04-02,8.7
dallas,05-02,8.6
dallas,06-02,9.2
dallas,07-02,9.1
dallas,08-02,9.0
dallas,09-02,8.7
dallas,10-02,8.5
dallas,11-02,8.8
dallas,12-02,8.6
dallas,01-03,9.5
dallas,02-03,9.3
dallas,03-03,9.1
dallas,04-03,8.7
dallas,05-03,8.9
dallas,06-03,9.8
dallas,07-03,9.3
dallas,08-03,9.1
dallas,09-03,8.8
dallas,10-03,8.3
dallas,11-03,8.2
dallas,12-03,7.8
dallas,01-04,8.6
dallas,02-04,8.2
dallas,03-04,8.4
dallas,04-04,7.6
dallas,05-04,7.6
dallas,06-04,8.3
dallas,07-04,8.0
dallas,08-04,7.7
dallas,09-04,7.5
dallas,10-04,7.5
dallas,11-04,7.7
dallas,12-04,7.4
dallas,01-05,6.4
dallas,02-05,6.3
dallas,03-05,5.8
dallas,04-05,5.4
dallas,05-05,5.4
dallas,06-05,5.8
dallas,07-05,5.7
dallas,08-05,5.6
dallas,09-05,6.0
dallas,10-05,5.5
dallas,11-05,5.9
dallas,12-05,5.5
dallas,01-06,5.8
dallas,02-06,5.8
dallas,03-06,5.5
dallas,04-06,5.3
dallas,05-06,5.3
dallas,06-06,5.8
dallas,07-06,5.7
dallas,08-06,5.4
dallas,09-06,5.2
dallas,10-06,4.8
dallas,11-06,4.8
dallas,12-06,4.4
dallas,01-07,5.1
dallas,02-07,5.0
dallas,03-07,4.5
dallas,04-07,4.4
dallas,05-07,4.4
dallas,06-07,4.9
dallas,07-07,5.1
dallas,08-07,4.7
dallas,09-07,4.9
dallas,10-07,4.5
dallas,11-07,4.6
dallas,12-07,4.7
dallas,01-08,5.0
dallas,02-08,4.8
dallas,03-08,4.8
dallas,04-08,4.4
dallas,05-08,4.9
dallas,06-08,5.4
dallas,07-08,5.7
dallas,08-08,5.9
dallas,09-08,5.9
dallas,10-08,5.9
dallas,11-08,6.1
dallas,12-08,6.3
dallas,01-09,7.2
dallas,02-09,7.3
dallas,03-09,7.2
dallas,04-09,6.6
dallas,05-09,7.8
dallas,06-09,8.9
dallas,07-09,9.0
dallas,08-09,8.9
dallas,09-09,8.9
dallas,10-09,8.7
dallas,11-09,8.5
dallas,12-09,8.5
dallas,01-10,8.9
dallas,02-10,8.8
dallas,03-10,8.7
dallas,04-10,8.3
dallas,05-10,8.3
dallas,06-10,8.7
dallas,07-10,8.7
dallas,08-10,8.5
dallas,09-10,8.4
dallas,10-10,8.2
dallas,11-10,8.5
dallas,12-10,8.2
dallas,01-11,8.7
dallas,02-11,8.5
dallas,03-11,8.4
dallas,04-11,8.1
dallas,05-11,8.3
dallas,06-11,8.9
dallas,07-11,8.9
dallas,08-11,8.5
dallas,09-11,8.4
dallas,10-11,8.0
dallas,11-11,7.6
dallas,12-11,7.3
dallas,01-12,7.7
dallas,02-12,7.5
dallas,03-12,7.1
dallas,04-12,6.6
dallas,05-12,7.0
dallas,06-12,7.5
dallas,07-12,7.5
dallas,08-12,7.2
dallas,09-12,6.7
dallas,10-12,6.5
dallas,11-12,6.3
dallas,12-12,6.4
dallas,01-13,7.2
dallas,02-13,6.9
dallas,03-13,6.6
dallas,04-13,6.3
dallas,05-13,6.5
dallas,06-13,7.0
dallas,07-13,6.8
dallas,08-13,6.5
dallas,09-13,6.5
dallas,10-13,6.2
dallas,11-13,5.8
dallas,12-13,5.5
dallas,01-14,5.9
dallas,02-14,5.9
dallas,03-14,5.7
dallas,04-14,5.0
dallas,05-14,5.4
dallas,06-14,5.6
dallas,07-14,5.8
dallas,08-14,5.7
dallas,09-14,5.2
dallas,10-14,4.8
dallas,11-14,4.7
dallas,12-14,4.3
dallas,01-15,4.9
dallas,02-15,4.5
dallas,03-15,4.3
dallas,04-15,3.9
dallas,05-15,4.1
dallas,06-15,4.4
dallas,07-15,4.4
dallas,08-15,4.1
dallas,09-15,4.1
dallas,10-15,4.0
dallas,11-15,3.9
dallas,12-15,3.7
dallas,01-16,4.0
dallas,02-16,4.0
dallas,03-16,4.0
dallas,04-16,3.7
dallas,05-16,3.7
dallas,06-16,4.2
dallas,07-16,4.3
dallas,08-16,4.2
dallas,09-16,4.3
dallas,10-16,4.0
dallas,11-16,3.9
dallas,12-16,3.8
dallas,01-17,4.3
dallas,02-17,4.4
dallas,03-17,4.2
dallas,04-17,3.9
dallas,05-17,3.9
dallas,06-17,4.2
dallas,07-17,4.1
dallas,08-17,4.1
dallas,09-17,3.7
dallas,10-17,3.5
dallas,11-17,3.6
dallas,12-17,3.5
dallas,01-18,4.0
dallas,02-18,4.1
dallas,03-18,3.9
dallas,04-18,3.6
dallas,05-18,3.6
dallas,06-18,4.1
dallas,07-18,4.1
dallas,08-18,3.9
dallas,09-18,3.8
dallas,10-18,3.6
dallas,11-18,3.5
dallas,12-18,3.6
dallas,01-19,4.1
dallas,02-19,3.8
dallas,03-19,3.5
dallas,04-19,3.1
dallas,05-19,3.2
dallas,06-19,3.7
dallas,07-19,3.8
dallas,08-19,3.7
dallas,09-19,3.4
dallas,10-19,3.2
dallas,11-19,3.2
dallas,12-19,3.0
dallas,01-20,3.4
dallas,02-20,3.3
dallas,03-20,5.3
dallas,04-20,12.7
dallas,05-20,12.6
dallas,06-20,11.3
dallas,07-20,10.3
dallas,08-20,8.4
dallas,09-20,8.0
dallas,10-20,7.0
dallas,11-20,7.0
dallas,12-20,7.0
dallas,01-21,7.1
dallas,02-21,7.0
dallas,03-21,6.8
dallas,04-21,6.1
dallas,05-21,5.8
dallas,06-21,6.3
dallas,07-21,5.8
dallas,08-21,5.5
dallas,09-21,5.0
dallas,10-21,4.7
dallas,11-21,4.4
dallas,12-21,4.0
dallas,01-22,4.5
dallas,02-22,4.4
dallas,03-22,3.6
