seattle,01-90,5.3
seattle,02-90,5.0
seattle,03-90,4.9
seattle,04-90,4.0
seattle,05-90,4.3
seattle,06-90,4.4
seattle,07-90,4.1
seattle,08-90,3.8
seattle,09-90,4.4
seattle,10-90,3.6
seattle,11-90,4.3
seattle,12-90,3.9
seattle,01-91,4.7
seattle,02-91,5.1
seattle,03-91,4.8
seattle,04-91,4.1
seattle,05-91,4.6
seattle,06-91,5.3
seattle,07-91,5.2
seattle,08-91,5.3
seattle,09-91,5.4
seattle,10-91,5.4
seattle,11-91,5.8
seattle,12-91,5.5
seattle,01-92,6.1
seattle,02-92,6.4
seattle,03-92,6.1
seattle,04-92,5.4
seattle,05-92,5.9
seattle,06-92,6.5
seattle,07-92,6.2
seattle,08-92,5.9
seattle,09-92,6.8
seattle,10-92,6.4
seattle,11-92,7.0
seattle,12-92,6.6
seattle,01-93,7.1
seattle,02-93,7.1
seattle,03-93,6.7
seattle,04-93,6.1
seattle,05-93,6.7
seattle,06-93,6.9
seattle,07-93,6.7
seattle,08-93,6.3
seattle,09-93,6.4
seattle,10-93,6.0
seattle,11-93,6.1
seattle,12-93,5.5
seattle,01-94,6.2
seattle,02-94,6.1
seattle,03-94,5.5
seattle,04-94,4.8
seattle,05-94,5.0
seattle,06-94,5.4
seattle,07-94,5.3
seattle,08-94,5.0
seattle,09-94,5.3
seattle,10-94,5.0
seattle,11-94,5.1
seattle,12-94,4.2
seattle,01-95,5.4
seattle,02-95,5.3
seattle,03-95,5.2
seattle,04-95,4.8
seattle,05-95,5.3
seattle,06-95,5.8
seattle,07-95,5.7
seattle,08-95,5.5
seattle,09-95,5.4
seattle,10-95,5.2
seattle,11-95,5.5
seattle,12-95,5.2
seattle,01-96,5.7
seattle,02-96,5.5
seattle,03-96,5.2
seattle,04-96,4.6
seattle,05-96,5.0
seattle,06-96,5.0
seattle,07-96,4.9
seattle,08-96,4.7
seattle,09-96,5.0
seattle,10-96,4.7
seattle,11-96,5.0
seattle,12-96,4.5
seattle,01-97,5.3
seattle,02-97,5.3
seattle,03-97,4.9
seattle,04-97,3.8
seattle,05-97,4.6
seattle,06-97,4.7
seattle,07-97,4.9
seattle,08-97,4.3
seattle,09-97,4.7
seattle,10-97,4.1
seattle,11-97,3.9
seattle,12-97,3.5
seattle,01-98,3.9
seattle,02-98,4.0
seattle,03-98,4.3
seattle,04-98,3.3
seattle,05-98,4.1
seattle,06-98,4.4
seattle,07-98,4.5
seattle,08-98,4.4
seattle,09-98,5.0
seattle,10-98,4.0
seattle,11-98,4.1
seattle,12-98,3.6
seattle,01-99,3.8
seattle,02-99,4.0
seattle,03-99,3.8
seattle,04-99,3.2
seattle,05-99,3.4
seattle,06-99,3.9
seattle,07-99,4.0
seattle,08-99,4.0
seattle,09-99,4.3
seattle,10-99,4.2
seattle,11-99,4.6
seattle,12-99,3.9
seattle,01-00,4.1
seattle,02-00,4.2
seattle,03-00,4.0
seattle,04-00,3.5
seattle,05-00,4.0
seattle,06-00,4.2
seattle,07-00,4.3
seattle,08-00,4.3
seattle,09-00,4.4
seattle,10-00,4.2
seattle,11-00,4.2
seattle,12-00,3.9
seattle,01-01,4.5
seattle,02-01,4.6
seattle,03-01,4.6
seattle,04-01,4.0
seattle,05-01,4.4
seattle,06-01,5.0
seattle,07-01,5.0
seattle,08-01,5.0
seattle,09-01,5.3
seattle,10-01,5.3
seattle,11-01,5.6
seattle,12-01,5.6
seattle,01-02,5.8
seattle,02-02,5.8
seattle,03-02,5.9
seattle,04-02,5.3
seattle,05-02,5.7
seattle,06-02,6.2
seattle,07-02,6.2
seattle,08-02,6.2
seattle,09-02,6.6
seattle,10-02,6.5
seattle,11-02,6.7
seattle,12-02,6.6
seattle,01-03,6.7
seattle,02-03,6.9
seattle,03-03,6.7
seattle,04-03,6.0
seattle,05-03,6.4
seattle,06-03,6.5
seattle,07-03,6.4
seattle,08-03,5.8
seattle,09-03,6.1
seattle,10-03,5.8
seattle,11-03,5.7
seattle,12-03,5.2
seattle,01-04,5.7
seattle,02-04,5.6
seattle,03-04,5.6
seattle,04-04,4.9
seattle,05-04,5.5
seattle,06-04,5.4
seattle,07-04,5.4
seattle,08-04,4.9
