DATE,CUURA210SAM
2016-07-01,422.788
2016-08-01,.
2016-09-01,438.283
2016-10-01,.
2016-11-01,442.539
2016-12-01,.
2017-01-01,445.069
2017-02-01,.
2017-03-01,445.113
2017-04-01,.
2017-05-01,443.292
2017-06-01,.
2017-07-01,444.357
2017-08-01,.
2017-09-01,441.056
2017-10-01,.
2017-11-01,441.481
