DATE,CUURA208SAM
2017-06-01,434.355
2017-07-01,.
2017-08-01,431.096
2017-09-01,.
2017-10-01,435.799
2017-11-01,.
2017-12-01,438.617
2018-01-01,.
2018-02-01,442.547
2018-03-01,.
2018-04-01,441.830
2018-05-01,.
2018-06-01,441.854
2018-07-01,.
2018-08-01,441.866
2018-09-01,.
2018-10-01,436.811
2018-11-01,.
2018-12-01,439.729
2019-01-01,.
2019-02-01,435.355
2019-03-01,.
2019-04-01,438.199
2019-05-01,.
2019-06-01,446.553
2019-07-01,.
2019-08-01,445.582
2019-09-01,.
2019-10-01,458.758
2019-11-01,.
2019-12-01,463.222
2020-01-01,.
2020-02-01,464.056
2020-03-01,.
2020-04-01,462.205
2020-05-01,.
2020-06-01,471.475
2020-07-01,.
2020-08-01,472.534
2020-09-01,.
2020-10-01,473.334
2020-11-01,.
2020-12-01,470.223
2021-01-01,.
2021-02-01,.
2021-03-01,.
2021-04-01,.
2021-05-01,.
2021-06-01,466.623
2021-07-01,.
2021-08-01,466.937
