DATE,CUUSA423SAM
1990-01-01,152.600
1990-07-01,156.600
1991-01-01,166.200
1991-07-01,172.600
1992-01-01,181.200
1992-07-01,187.100
1993-01-01,192.400
1993-07-01,193.800
1994-01-01,197.300
1994-07-01,202.400
1995-01-01,207.500
1995-07-01,211.300
1996-01-01,216.900
1996-07-01,217.900
1997-01-01,222.500
1997-07-01,226.900
