DATE,CUURA422SAM
2015-12-01,.
2016-01-01,.
2016-02-01,.
2016-03-01,.
2016-04-01,.
2016-05-01,.
2016-06-01,.
2016-07-01,.
2016-08-01,486.042
2016-09-01,.
2016-10-01,486.894
2016-11-01,.
2016-12-01,488.508
2017-01-01,.
2017-02-01,485.741
2017-03-01,.
2017-04-01,491.228
2017-05-01,.
2017-06-01,493.123
2017-07-01,.
2017-08-01,489.826
2017-09-01,.
2017-10-01,493.957
2017-11-01,.
2017-12-01,493.055
2018-01-01,.
2018-02-01,500.434
2018-03-01,.
2018-04-01,504.092
2018-05-01,.
2018-06-01,511.465
2018-07-01,.
2018-08-01,508.677
2018-09-01,.
2018-10-01,510.198
2018-11-01,.
2018-12-01,539.595
2019-01-01,.
2019-02-01,519.339
2019-03-01,.
2019-04-01,537.178
2019-05-01,.
2019-06-01,538.854
2019-07-01,.
2019-08-01,.
2019-09-01,.
2019-10-01,551.902
2019-11-01,.
2019-12-01,554.645
2020-01-01,.
2020-02-01,545.970
2020-03-01,.
2020-04-01,548.136
2020-05-01,.
2020-06-01,549.438
2020-07-01,.
2020-08-01,548.733
2020-09-01,.
2020-10-01,549.432
2020-11-01,.
2020-12-01,545.016
2021-01-01,.
2021-02-01,555.065
2021-03-01,.
2021-04-01,555.675
2021-05-01,.
2021-06-01,551.518
2021-07-01,.
2021-08-01,550.215
2021-09-01,.
2021-10-01,556.119
2021-11-01,.
2021-12-01,561.352
2022-01-01,.
2022-02-01,567.774
2022-03-01,.
2022-04-01,573.254
