"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",4205,5034,5303,5252,4706,4357,3832,3535,2916,2909,2885,3074,3104,3531,4490,4446,4324,3528,3359,3473,3387,3718,3885,4093,4002,4399,4602,4830,5302,5496,6329
"Cleared",2192,2463,2297,2251,2033,2159,2099,2005,1664,1567,1586,1616,1601,1733,2068,1818,1709,1412,1807,1923,1773,1805,1890,2215,2033,2044,2310,2587,2909,2916,3152
