"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",9190,9341,8532,8310,7744,8150,7631,7244,6481,6051,6041,6424,6364,6200,6007,6430,7030,6460,6154,5994,5529,5431,5469,5782,5205,4506,6546,5611,5971,5818,6294
"Cleared",3946,4001,4017,3802,3927,4036,3874,3830,2657,1659,1581,1628,1843,1249,1323,1321,1237,1114,1239,1206,1202,1072,1054,965,883,643,568,603,805,916,837
