"series",1990,1994,1995,1996,1997,1998,1999,2001,2002,2003,2004,2005,2006,2011,2012,2013,2014,2015,2019,2020
"Reported",2,31,55,19,14,4,4,8,7,8,3,3,0,15,23,11,8,1,0,4
"Cleared",0,28,51,17,13,4,4,6,7,8,3,3,0,5,11,3,2,0,0,2
