"series",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",28262,26447,27169,27471,24011,23239,21976,24427,21976,22112,20947,19940,18724,15913,21274,21391,19690,17982,18094,16973,15254,15023,14501,13622,11901,13723,13742,13493,13034,14370
"Cleared",6625,5814,5506,5859,0,5905,6545,7142,6605,6945,5982,6041,6481,4000,3915,3753,4100,3244,3154,3299,2841,2449,2684,2759,2093,2509,3123,3708,4684,4758
