"series",1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",16289,15856,16281,14684,14744,13699,12830,12624,11226,11583,10807,9969,8490,7921,7213,7548,8075,7403,6359,5749,6097,6027,5516,5577,5203,5121,4504,3814,3042,1344
"Cleared",0,8420,8434,6797,7232,7051,6139,5711,5093,5245,4684,4098,2820,2940,3386,3401,3067,2709,3107,2889,2970,2996,2398,2260,2019,1998,1795,1502,1262,297
