"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",12388,12160,13676,13365,10837,10903,9886,8549,7337,6555,6499,6784,6059,5725,5757,5985,6533,6414,6744,5957,5747,5374,5777,7064,6761,6710,6190,6301,6144,5933,4796
"Cleared",3637,3628,3480,2979,2659,2935,2866,2495,2006,1841,1721,1762,1896,2393,1545,1801,1660,1565,2097,2099,1920,1849,1654,2336,2066,2046,2225,1981,2083,1994,1472
