"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",9314,10357,9864,9379,10262,8735,8689,7988,7543,6603,6381,6616,6289,5733,5178,4707,3839,3575,2975,2597,2170,2228,2162,2097,2080,2298,1906,1785,1598,1622,2119
"Cleared",0,4091,4569,4262,4120,3893,0,0,4035,2849,2954,2811,2610,2737,2818,2699,2162,1942,1723,1546,1387,1459,1397,1254,1263,1275,1198,1093,1016,996,1157
