"series",1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",13411,10706,8988,8448,8622,9192,9109,8839,7336,7716,8408,7924,8135,7587,7468,6985,7448,7880,7810,8084,7710,6584,6613,6896,6828
"Cleared",2778,3023,2729,2436,2497,2612,2565,2619,2254,2815,3160,2801,2826,2688,2860,2649,2870,3577,2856,2847,3644,3394,3458,3571,3607
