"series",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",16042,17776,17018,16865,16165,15429,15058,13248,11420,10221,9161,8330,8380,8330,8457,9038,10071,10369,10458,11887,11514
"Cleared",6064,5965,5487,5454,5110,4903,4763,3908,3511,3126,3417,3137,3336,3048,3053,3195,3622,3871,2071,2216,2018
