atlanta,01-91,16289,0
atlanta,02-91,16289,0
atlanta,03-91,16289,0
atlanta,04-91,16289,0
atlanta,05-91,16289,0
atlanta,06-91,16289,0
atlanta,07-91,16289,0
atlanta,08-91,16289,0
atlanta,09-91,16289,0
atlanta,10-91,16289,0
atlanta,11-91,16289,0
atlanta,12-91,16289,0
atlanta,01-92,15856,8420
atlanta,02-92,15856,8420
atlanta,03-92,15856,8420
atlanta,04-92,15856,8420
atlanta,05-92,15856,8420
atlanta,06-92,15856,8420
atlanta,07-92,15856,8420
atlanta,08-92,15856,8420
atlanta,09-92,15856,8420
atlanta,10-92,15856,8420
atlanta,11-92,15856,8420
atlanta,12-92,15856,8420
atlanta,01-93,16281,8434
atlanta,02-93,16281,8434
atlanta,03-93,16281,8434
atlanta,04-93,16281,8434
atlanta,05-93,16281,8434
atlanta,06-93,16281,8434
atlanta,07-93,16281,8434
atlanta,08-93,16281,8434
atlanta,09-93,16281,8434
atlanta,10-93,16281,8434
atlanta,11-93,16281,8434
atlanta,12-93,16281,8434
atlanta,01-94,14684,6797
atlanta,02-94,14684,6797
atlanta,03-94,14684,6797
atlanta,04-94,14684,6797
atlanta,05-94,14684,6797
atlanta,06-94,14684,6797
atlanta,07-94,14684,6797
atlanta,08-94,14684,6797
atlanta,09-94,14684,6797
atlanta,10-94,14684,6797
atlanta,11-94,14684,6797
atlanta,12-94,14684,6797
atlanta,01-95,14744,7232
atlanta,02-95,14744,7232
atlanta,03-95,14744,7232
atlanta,04-95,14744,7232
atlanta,05-95,14744,7232
atlanta,06-95,14744,7232
atlanta,07-95,14744,7232
atlanta,08-95,14744,7232
atlanta,09-95,14744,7232
atlanta,10-95,14744,7232
atlanta,11-95,14744,7232
atlanta,12-95,14744,7232
atlanta,01-96,13699,7051
atlanta,02-96,13699,7051
atlanta,03-96,13699,7051
atlanta,04-96,13699,7051
atlanta,05-96,13699,7051
atlanta,06-96,13699,7051
atlanta,07-96,13699,7051
atlanta,08-96,13699,7051
atlanta,09-96,13699,7051
atlanta,10-96,13699,7051
atlanta,11-96,13699,7051
atlanta,12-96,13699,7051
atlanta,01-97,12830,6139
atlanta,02-97,12830,6139
atlanta,03-97,12830,6139
atlanta,04-97,12830,6139
atlanta,05-97,12830,6139
atlanta,06-97,12830,6139
atlanta,07-97,12830,6139
atlanta,08-97,12830,6139
atlanta,09-97,12830,6139
atlanta,10-97,12830,6139
atlanta,11-97,12830,6139
atlanta,12-97,12830,6139
atlanta,01-98,12624,5711
atlanta,02-98,12624,5711
atlanta,03-98,12624,5711
atlanta,04-98,12624,5711
atlanta,05-98,12624,5711
atlanta,06-98,12624,5711
atlanta,07-98,12624,5711
atlanta,08-98,12624,5711
atlanta,09-98,12624,5711
atlanta,10-98,12624,5711
atlanta,11-98,12624,5711
atlanta,12-98,12624,5711
atlanta,01-99,11226,5093
atlanta,02-99,11226,5093
atlanta,03-99,11226,5093
atlanta,04-99,11226,5093
atlanta,05-99,11226,5093
atlanta,06-99,11226,5093
atlanta,07-99,11226,5093
atlanta,08-99,11226,5093
atlanta,09-99,11226,5093
atlanta,10-99,11226,5093
atlanta,11-99,11226,5093
atlanta,12-99,11226,5093
atlanta,01-00,11583,5245
atlanta,02-00,11583,5245
atlanta,03-00,11583,5245
atlanta,04-00,11583,5245
atlanta,05-00,11583,5245
atlanta,06-00,11583,5245
atlanta,07-00,11583,5245
atlanta,08-00,11583,5245
atlanta,09-00,11583,5245
atlanta,10-00,11583,5245
atlanta,11-00,11583,5245
atlanta,12-00,11583,5245
atlanta,01-01,10807,4684
atlanta,02-01,10807,4684
atlanta,03-01,10807,4684
atlanta,04-01,10807,4684
atlanta,05-01,10807,4684
atlanta,06-01,10807,4684
atlanta,07-01,10807,4684
atlanta,08-01,10807,4684
atlanta,09-01,10807,4684
atlanta,10-01,10807,4684
atlanta,11-01,10807,4684
atlanta,12-01,10807,4684
atlanta,01-02,9969,4098
atlanta,02-02,9969,4098
atlanta,03-02,9969,4098
atlanta,04-02,9969,4098
atlanta,05-02,9969,4098
atlanta,06-02,9969,4098
atlanta,07-02,9969,4098
atlanta,08-02,9969,4098
atlanta,09-02,9969,4098
atlanta,10-02,9969,4098
atlanta,11-02,9969,4098
atlanta,12-02,9969,4098
atlanta,01-03,8490,2820
atlanta,02-03,8490,2820
atlanta,03-03,8490,2820
atlanta,04-03,8490,2820
atlanta,05-03,8490,2820
atlanta,06-03,8490,2820
atlanta,07-03,8490,2820
atlanta,08-03,8490,2820
atlanta,09-03,8490,2820
atlanta,10-03,8490,2820
atlanta,11-03,8490,2820
atlanta,12-03,8490,2820
atlanta,01-04,7921,2940
atlanta,02-04,7921,2940
atlanta,03-04,7921,2940
atlanta,04-04,7921,2940
atlanta,05-04,7921,2940
atlanta,06-04,7921,2940
atlanta,07-04,7921,2940
atlanta,08-04,7921,2940
atlanta,09-04,7921,2940
atlanta,10-04,7921,2940
atlanta,11-04,7921,2940
atlanta,12-04,7921,2940
atlanta,01-05,7213,3386
atlanta,02-05,7213,3386
atlanta,03-05,7213,3386
atlanta,04-05,7213,3386
atlanta,05-05,7213,3386
atlanta,06-05,7213,3386
atlanta,07-05,7213,3386
atlanta,08-05,7213,3386
atlanta,09-05,7213,3386
atlanta,10-05,7213,3386
atlanta,11-05,7213,3386
atlanta,12-05,7213,3386
atlanta,01-06,7548,3401
atlanta,02-06,7548,3401
atlanta,03-06,7548,3401
atlanta,04-06,7548,3401
atlanta,05-06,7548,3401
atlanta,06-06,7548,3401
atlanta,07-06,7548,3401
