"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",7836,8121,8389,8445,8808,8833,7835,7600,6707,6294,5698,4556,4512,4436,4034,3858,3872,3701,3445,3105,3051,3037,3093,2941,2911,949,3223,3361,3476,3637,3465
"Cleared",2479,2528,2606,2981,3016,3143,2842,2485,2324,0,0,0,1222,1044,1323,1298,1206,1274,1185,1044,975,1003,1097,1000,979,297,1011,1006,1082,1422,1422
