"series",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",327,5889,6199,6481,7074,7076,6808,6733,5524,4943,4404,4101,4123,4517,4726,5472,6374,5580,4779,4242,4064,3722,3872,4038,4093,4395,4622,4614,3395,4004,5025
"Cleared",87,498,1851,2245,2220,0,0,1123,0,0,1469,0,0,0,1808,1590,1807,1620,1561,1556,1763,1429,1353,1376,1392,1314,1306,1417,865,1166,1189
