DATE,SMS11000006500000001
2019-01-01,131.3
2019-02-01,131.0
2019-03-01,131.4
2019-04-01,131.4
2019-05-01,131.1
2019-06-01,130.6
2019-07-01,130.3
2019-08-01,130.1
2019-09-01,129.9
2019-10-01,130.0
2019-11-01,129.8
2019-12-01,129.6
2020-01-01,131.2
2020-02-01,130.9
2020-03-01,130.8
2020-04-01,123.8
2020-05-01,121.9
2020-06-01,122.9
2020-07-01,122.2
2020-08-01,121.8
2020-09-01,121.5
2020-10-01,121.1
2020-11-01,121.5
2020-12-01,121.1
2021-01-01,121.0
2021-02-01,120.4
2021-03-01,120.0
2021-04-01,119.6
2021-05-01,119.2
2021-06-01,119.5
2021-07-01,119.9
2021-08-01,119.9
2021-09-01,119.7
2021-10-01,121.2
2021-11-01,120.2
2021-12-01,120.6
2022-01-01,119.7
2022-02-01,120.7
2022-03-01,121.3
2022-04-01,122.2
