DATE,ATLA013EDUH
1991-01-01,120.830365517188
1991-02-01,121.29817200123199
1991-03-01,121.755952789706
1991-04-01,121.498592617851
1991-05-01,122.741717762793
1991-06-01,122.831694837271
1991-07-01,123.59700319471399
1991-08-01,124.231622808531
1991-09-01,125.041252808066
1991-10-01,124.568929161248
1991-11-01,124.960659262315
1991-12-01,126.096886563831
1992-01-01,126.309975782971
1992-02-01,126.789699431961
1992-03-01,127.25521103334101
1992-04-01,127.692029422587
1992-05-01,128.219035574459
1992-06-01,128.567930325169
1992-07-01,129.555557917325
1992-08-01,130.070113719254
1992-09-01,130.80393892933
1992-10-01,131.790201107579
1992-11-01,132.370826344312
1992-12-01,132.652626325641
1993-01-01,132.90545577087602
1993-02-01,133.648201986651
1993-03-01,133.803474419062
1993-04-01,135.378595677171
1993-05-01,135.96271895901899
1993-06-01,136.874666794408
1993-07-01,137.689550932804
1993-08-01,138.084546821789
1993-09-01,138.60388755603202
1993-10-01,138.889734681646
1993-11-01,139.35881559490699
1993-12-01,140.094155984855
1994-01-01,141.343405294961
1994-02-01,141.576861184495
1994-03-01,141.92765059247
1994-04-01,142.019018477974
1994-05-01,142.456225801641
1994-06-01,143.477734255942
1994-07-01,144.012846565725
1994-08-01,144.567112052728
1994-09-01,145.230118686692
1994-10-01,145.57820272302098
1994-11-01,146.534103984592
1994-12-01,147.136068152489
1995-01-01,147.442744743945
1995-02-01,148.094036702888
1995-03-01,148.799959235094
1995-04-01,150.923164996996
1995-05-01,151.30311204633
1995-06-01,152.29771545815902
1995-07-01,153.104985498078
1995-08-01,154.328273476925
1995-09-01,155.49066534890198
1995-10-01,154.724475972422
1995-11-01,155.341241033244
1995-12-01,156.877172605314
1996-01-01,157.170697005135
1996-02-01,158.133938015362
1996-03-01,158.793822312677
1996-04-01,158.462476914657
1996-05-01,158.99317282216998
1996-06-01,160.161103686554
1996-07-01,159.362868080306
1996-08-01,159.70283717335
1996-09-01,160.174361406196
1996-10-01,161.532224788938
1996-11-01,162.31036210670402
1996-12-01,163.115929224186
1997-01-01,164.068821795051
1997-02-01,164.59118462810102
1997-03-01,164.693869869727
1997-04-01,165.003358125205
1997-05-01,165.30900920448798
1997-06-01,165.564354932984
1997-07-01,165.91714713347
1997-08-01,166.28107988861998
1997-09-01,167.076734903011
1997-10-01,167.684309740373
1997-11-01,168.284036113603
1997-12-01,169.18559805614902
1998-01-01,167.406010141027
1998-02-01,168.36072243695
1998-03-01,169.154737876192
1998-04-01,169.972573293387
1998-05-01,170.721511631769
1998-06-01,171.23180965670602
1998-07-01,172.429719145032
1998-08-01,172.648796136466
1998-09-01,172.91107729601399
1998-10-01,172.35319968003103
1998-11-01,172.344699934381
1998-12-01,172.923661724155
1999-01-01,174.59240957481398
1999-02-01,175.385042667999
1999-03-01,175.107592336508
1999-04-01,177.233291974984
1999-05-01,178.16711297563597
1999-06-01,178.06209194648
1999-07-01,177.328861788656
1999-08-01,177.617942261156
1999-09-01,177.76923896265998
1999-10-01,180.375561271615
1999-11-01,180.89139553900299
1999-12-01,181.34195653347498
2000-01-01,180.931907495502
2000-02-01,181.089980479624
2000-03-01,181.269944781122
2000-04-01,182.196745456923
2000-05-01,182.58709033504502
2000-06-01,183.178157556188
2000-07-01,182.59137370825198
2000-08-01,182.414326678121
2000-09-01,183.575625330919
2000-10-01,185.865638291877
2000-11-01,186.05844709175702
2000-12-01,185.81767256604198
2001-01-01,186.73273932194198
2001-02-01,187.588714787628
2001-03-01,188.221915226353
2001-04-01,188.914779160108
2001-05-01,189.43306800611998
2001-06-01,190.67432049025
2001-07-01,193.82984500889302
2001-08-01,193.867794519681
2001-09-01,194.810597162889
2001-10-01,194.647261060397
2001-11-01,195.06943769417302
2001-12-01,196.01112219993198
2002-01-01,195.63062661386502
2002-02-01,197.04279124963298
2002-03-01,198.59851962708802
2002-04-01,198.417425808862
2002-05-01,198.818008649706
2002-06-01,200.124728975862
2002-07-01,200.76395715596001
2002-08-01,202.094369155471
2002-09-01,202.37274798949198
2002-10-01,202.52129308685502
2002-11-01,203.483353181167
2002-12-01,203.91877157185903
2003-01-01,204.162634037805
2003-02-01,205.04326301575801
2003-03-01,205.79209575695597
2003-04-01,205.659886975317
2003-05-01,206.755108659749
2003-06-01,207.24177662640201
2003-07-01,207.36825540437698
2003-08-01,208.388577081386
2003-09-01,208.63314811837003
2003-10-01,208.55868683714803
2003-11-01,209.319316054062
2003-12-01,210.410717045606
2004-01-01,211.42279658138
2004-02-01,211.56591843439801
2004-03-01,212.024918549772
2004-04-01,213.136105096396
2004-05-01,213.77278929268502
2004-06-01,214.67742369377103
2004-07-01,215.99261238900903
2004-08-01,216.40920885161998
2004-09-01,216.049441652215
2004-10-01,218.603450522683
2004-11-01,218.989187374697
2004-12-01,219.85276580632598
2005-01-01,221.04957708762902
2005-02-01,220.93208754227
2005-03-01,218.685090033971
2005-04-01,223.54705856732102
2005-05-01,224.63657022266102
2005-06-01,224.801515475225
2005-07-01,226.22414997275902
2005-08-01,226.62425144284302
2005-09-01,227.406078781823
2005-10-01,228.307988100845
2005-11-01,228.556713708869
2005-12-01,229.091670784203
2006-01-01,232.05068200115502
2006-02-01,232.09412833300098
2006-03-01,232.36018634496799
2006-04-01,232.560004190621
2006-05-01,232.85453529993
2006-06-01,233.75263683134102
2006-07-01,234.71244192164502
2006-08-01,234.43989423041
2006-09-01,235.923302383428
2006-10-01,238.806869905655
2006-11-01,239.09702027244202
2006-12-01,239.50570797901798
2007-01-01,240.27896148508302
2007-02-01,240.792365391821
