DATE,MIAM112EDUH
1990-01-01,181.999221864188
1990-02-01,182.63235636855597
1990-03-01,183.16412762578202
1990-04-01,182.66935740129298
1990-05-01,183.309353866651
1990-06-01,185.39541191190602
1990-07-01,184.920572192127
1990-08-01,186.592777390467
1990-09-01,187.576507670308
1990-10-01,188.11201655421502
1990-11-01,188.602878376469
1990-12-01,189.336795975178
1991-01-01,189.62424752926398
1991-02-01,190.29854433238202
1991-03-01,191.289125060551
1991-04-01,192.76442485816398
1991-05-01,193.360706365537
1991-06-01,194.457529191058
1991-07-01,195.992460952156
1991-08-01,196.490006447911
1991-09-01,197.734529634454
1991-10-01,198.39311976901
1991-11-01,199.477599130105
1991-12-01,199.77709339921
1992-01-01,204.04688782048999
1992-02-01,204.535921719094
1992-03-01,204.982319598765
1992-04-01,207.149352666167
1992-05-01,206.37877651231602
1992-06-01,205.90060862965302
1992-07-01,205.770170249464
1992-08-01,205.695888720676
1992-09-01,205.169011924068
1992-10-01,206.47093351899
1992-11-01,207.363881414097
1992-12-01,208.666855338493
1993-01-01,209.60537782517602
1993-02-01,210.167455127387
1993-03-01,210.525853588734
1993-04-01,211.553301560173
1993-05-01,212.108341952877
1993-06-01,212.801286381846
1993-07-01,215.78500479928798
1993-08-01,216.297333238757
1993-09-01,216.974710777683
1993-10-01,218.591275059983
1993-11-01,219.185873804627
1993-12-01,219.644844744558
1994-01-01,219.76982101522702
1994-02-01,220.491599425066
1994-03-01,221.42663902620998
1994-04-01,221.521842912159
1994-05-01,222.82896297724997
1994-06-01,223.888552022704
1994-07-01,224.77657704158
1994-08-01,225.760731354193
1994-09-01,227.210419841755
1994-10-01,225.233353447028
1994-11-01,226.639993598564
1994-12-01,227.67345549546602
1995-01-01,229.079786493999
1995-02-01,230.426240488283
1995-03-01,231.49720383002997
1995-04-01,232.12047074803903
1995-05-01,232.67062331064997
1995-06-01,234.054786835347
1995-07-01,233.114255137279
1995-08-01,233.67775537927798
1995-09-01,235.353452465451
1995-10-01,236.846095371552
1995-11-01,238.050765924821
1995-12-01,238.36175852531102
1996-01-01,237.600114365906
1996-02-01,239.264622953449
1996-03-01,239.68629819498798
1996-04-01,236.77739060985198
1996-05-01,237.69610514802602
1996-06-01,238.58428769597302
1996-07-01,238.74962394769798
1996-08-01,239.39021829756902
1996-09-01,239.87853617636003
1996-10-01,240.16249615710203
1996-11-01,241.161798606131
1996-12-01,241.061963348392
1997-01-01,242.944209557315
1997-02-01,243.295928005377
1997-03-01,244.30934232305302
1997-04-01,245.950667537259
1997-05-01,246.65804718475
1997-06-01,247.21746471013302
1997-07-01,248.494395726562
1997-08-01,249.83731865621
1997-09-01,250.64950682418998
1997-10-01,250.989827852947
1997-11-01,251.235945203919
1997-12-01,251.60509176537602
1998-01-01,253.017945241655
1998-02-01,253.79020234863498
1998-03-01,254.727785128261
1998-04-01,250.53883172786098
1998-05-01,250.802600740189
1998-06-01,251.265770735499
1998-07-01,251.637785495266
1998-08-01,251.46446255786802
1998-09-01,252.026060396851
1998-10-01,251.916257590094
1998-11-01,252.255685220924
1998-12-01,252.64145150499698
1999-01-01,253.006223219385
1999-02-01,253.346254435155
1999-03-01,254.42611405904302
1999-04-01,253.265417201008
1999-05-01,253.390356483228
1999-06-01,254.55396327295398
1999-07-01,253.789477285125
1999-08-01,254.633676547255
1999-09-01,253.695772644633
1999-10-01,253.15775598602002
1999-11-01,254.302868479597
1999-12-01,255.16586374308997
2000-01-01,255.21227858037497
2000-02-01,255.925695008326
2000-03-01,256.17482071375997
2000-04-01,255.353603559026
2000-05-01,255.634425711191
2000-06-01,256.676704287021
2000-07-01,257.35291657638
2000-08-01,257.927013288293
2000-09-01,258.131390503155
2000-10-01,258.797631500565
2000-11-01,259.59595344800897
2000-12-01,260.193265526138
2001-01-01,257.11926569015
2001-02-01,258.068803062021
2001-03-01,258.823923557345
2001-04-01,260.473765253053
2001-05-01,262.19950596651597
2001-06-01,263.197293342454
2001-07-01,264.796061524142
2001-08-01,265.633964954445
2001-09-01,266.955973507635
2001-10-01,267.773962356511
2001-11-01,269.047755125226
2001-12-01,270.150522455103
2002-01-01,270.375307844035
2002-02-01,271.074213853951
2002-03-01,272.750863944273
2002-04-01,272.70847179025503
2002-05-01,273.240196384653
2002-06-01,274.041410613952
2002-07-01,273.438491969292
2002-08-01,275.228753520094
2002-09-01,276.520016538987
2002-10-01,277.681070729388
2002-11-01,278.666285849242
2002-12-01,279.070394704521
2003-01-01,280.150406871365
2003-02-01,280.982812749659
2003-03-01,281.71698795872504
2003-04-01,282.299915578348
2003-05-01,282.620862778857
2003-06-01,283.583168419753
2003-07-01,283.431495666357
2003-08-01,284.42769066807097
2003-09-01,285.74431048193696
2003-10-01,288.048406552942
2003-11-01,286.709522333825
2003-12-01,287.872239272264
2004-01-01,289.41364605004003
2004-02-01,290.478052002166
2004-03-01,290.457146154153
2004-04-01,292.712866484947
2004-05-01,293.259270788032
2004-06-01,293.158872057514
2004-07-01,293.934386535802
2004-08-01,294.175216557722
2004-09-01,292.424639633977
2004-10-01,296.827179953185
2004-11-01,298.00393919416
2004-12-01,297.46437088818
2005-01-01,296.443561150792
2005-02-01,298.207702494347
2005-03-01,297.770834698511
2005-04-01,301.345079757818
2005-05-01,300.705185081757
2005-06-01,300.109603164725
2005-07-01,303.46411677579397
2005-08-01,304.488963403973
2005-09-01,304.572208399455
2005-10-01,303.539013439522
2005-11-01,303.33082730139097
2005-12-01,303.775117154169
2006-01-01,302.974858721445
2006-02-01,303.578327432959
2006-03-01,305.01573609770196
