DATE,PORT941EDUH
1990-01-01,73.11341873158901
1990-02-01,72.8857977282
1990-03-01,73.7081188527531
1990-04-01,73.62889998239841
1990-05-01,73.88416970566949
1990-06-01,74.51967871314059
1990-07-01,75.2572448099503
1990-08-01,76.40849731887
1990-09-01,75.4548769155174
1990-10-01,75.69053669714759
1990-11-01,75.87903197688941
1990-12-01,76.21913927559599
1991-01-01,75.72658759553309
1991-02-01,75.8462584027148
1991-03-01,75.86217137422041
1991-04-01,76.0954447388975
1991-05-01,76.38747229010309
1991-06-01,76.13934002382359
1991-07-01,76.5314099996991
1991-08-01,76.8301928394086
1991-09-01,76.81869057320621
1991-10-01,77.6869549598506
1991-11-01,77.6701763839414
1991-12-01,77.6932998166056
1992-01-01,78.2542513736003
1992-02-01,78.2993967312199
1992-03-01,78.190509706194
1992-04-01,78.5416514510975
1992-05-01,78.8776819843565
1992-06-01,78.9722199069265
1992-07-01,79.200573348847
1992-08-01,79.3227032131503
1992-09-01,79.6608671973817
1992-10-01,80.09236086608459
1992-11-01,80.3588793228197
1992-12-01,80.05257753374121
1993-01-01,80.9825245951237
1993-02-01,81.2548547448342
1993-03-01,81.4570079422493
1993-04-01,82.27524479021059
1993-05-01,82.46104590155501
1993-06-01,83.0277711792435
1993-07-01,82.9351239169967
1993-08-01,82.94672044561409
1993-09-01,83.52060560199959
1993-10-01,83.2865399964065
1993-11-01,83.52376061465071
1993-12-01,83.27077763114549
1994-01-01,84.6462111613275
1994-02-01,85.2035551359153
1994-03-01,85.5111443497151
1994-04-01,85.1959422741117
1994-05-01,85.23192720879631
1994-06-01,85.6674777803208
1994-07-01,86.1560454970792
1994-08-01,86.6813239534967
1994-09-01,87.1109209718774
1994-10-01,86.76857730521928
1994-11-01,87.2681991073477
1994-12-01,88.0474514425227
1995-01-01,87.2342534794475
1995-02-01,87.2656071162516
1995-03-01,88.34618881293021
1995-04-01,87.9262052857278
1995-05-01,88.2021509885591
1995-06-01,89.16810903964229
1995-07-01,88.6167762831727
1995-08-01,89.07037190800159
1995-09-01,89.3720220395969
1995-10-01,89.5249047258417
1995-11-01,89.7954714072334
1995-12-01,90.0352945233095
1996-01-01,90.4403506039741
1996-02-01,90.33233755191941
1996-03-01,91.01270196263809
1996-04-01,91.14146631058159
1996-05-01,91.6541330480403
1996-06-01,91.9961049759797
1996-07-01,91.9707441834453
1996-08-01,92.61307898101249
1996-09-01,92.75654681213699
1996-10-01,93.5226992428686
1996-11-01,94.2689842531755
1996-12-01,94.8015951074341
1997-01-01,95.23966185571008
1997-02-01,96.1641124900032
1997-03-01,95.7792214372937
1997-04-01,96.3386684030035
1997-05-01,96.6886226954723
1997-06-01,96.7568005230786
1997-07-01,97.4903694896008
1997-08-01,97.5329548205176
1997-09-01,96.95352194261059
1997-10-01,97.8854250966459
1997-11-01,97.9480450463767
1997-12-01,98.1101474654512
1998-01-01,97.9034784995713
1998-02-01,98.50422904817059
1998-03-01,98.8217013099108
1998-04-01,99.3625070662471
1998-05-01,99.6563398097732
1998-06-01,99.731592519296
1998-07-01,99.98558439913771
1998-08-01,100.082758446456
1998-09-01,100.12042542660801
1998-10-01,100.603991321103
1998-11-01,100.771164367278
1998-12-01,101.653233433312
1999-01-01,101.56028197644599
1999-02-01,101.232962545222
1999-03-01,101.973967540698
1999-04-01,101.69341525569901
1999-05-01,101.734912376028
1999-06-01,101.711204657511
1999-07-01,102.493120978839
1999-08-01,102.211761708002
1999-09-01,103.389038615179
1999-10-01,103.35175540958099
1999-11-01,103.50008335129499
1999-12-01,103.550433493523
2000-01-01,103.476110256551
2000-02-01,103.88754781674
2000-03-01,103.850389448024
2000-04-01,103.934278571295
2000-05-01,104.116038069813
2000-06-01,104.248673135942
2000-07-01,104.054060540159
2000-08-01,104.72287627555401
2000-09-01,105.665847151238
2000-10-01,106.234262302785
2000-11-01,106.524722373193
2000-12-01,106.94118120786
2001-01-01,107.325415003784
2001-02-01,107.647795147711
2001-03-01,107.69438499415399
2001-04-01,107.93454228777
2001-05-01,108.255751001433
2001-06-01,109.502328083061
2001-07-01,109.04546728320801
2001-08-01,109.63637377637
2001-09-01,109.16283298663299
2001-10-01,108.827909912854
2001-11-01,109.543303918734
2001-12-01,110.026248018645
2002-01-01,110.89989336535999
2002-02-01,111.18713925844801
2002-03-01,111.723153153533
2002-04-01,112.622691070711
2002-05-01,113.086520572022
2002-06-01,113.565467265092
2002-07-01,113.614484947528
2002-08-01,113.91468339962799
2002-09-01,113.463595104454
2002-10-01,114.578696720916
2002-11-01,115.116066899564
2002-12-01,115.129286606777
2003-01-01,115.55025471584999
2003-02-01,115.51137911434401
2003-03-01,115.525450262824
2003-04-01,115.594080301614
2003-05-01,115.90700330453899
2003-06-01,116.266490211408
2003-07-01,116.562905751919
2003-08-01,116.49005693241301
2003-09-01,116.155474954232
2003-10-01,116.555726742258
2003-11-01,116.74371019818899
2003-12-01,117.32064673114401
2004-01-01,116.08571990408501
2004-02-01,116.853161034306
2004-03-01,117.209590283953
2004-04-01,117.41232979236999
2004-05-01,117.562228727754
2004-06-01,117.81853523732
2004-07-01,118.186555439505
2004-08-01,118.148679397643
2004-09-01,119.02709041218
2004-10-01,118.979778074821
2004-11-01,119.22575659969802
2004-12-01,119.575267127763
2005-01-01,120.08104660879499
2005-02-01,120.649553912691
2005-03-01,121.066786258406
2005-04-01,121.29712161913
2005-05-01,121.7221675523
2005-06-01,121.641555667405
2005-07-01,122.635223912439
2005-08-01,123.38959415737699
2005-09-01,123.96519727100402
2005-10-01,123.711881369177
