DATE,CHIC917EDUH
1990-01-01,382.95922372346297
1990-02-01,382.610682711097
1990-03-01,384.043479470345
1990-04-01,382.45286977185697
1990-05-01,383.97862354894
1990-06-01,385.72701488515503
1990-07-01,386.5052466307
1990-08-01,389.22510080361
1990-09-01,393.835987612353
1990-10-01,394.230459468991
1990-11-01,396.070985310081
1990-12-01,398.52575142899803
1991-01-01,397.397480866127
1991-02-01,400.93076762635
1991-03-01,402.187012927408
1991-04-01,405.839457187499
1991-05-01,407.436496648222
1991-06-01,408.030113066483
1991-07-01,407.874238956407
1991-08-01,408.56675418127503
1991-09-01,407.562073851422
1991-10-01,407.93690267792704
1991-11-01,408.787801113113
1991-12-01,409.137340332428
1992-01-01,411.76948916359595
1992-02-01,412.492461530041
1992-03-01,413.774653989088
1992-04-01,414.776599508661
1992-05-01,415.569359293636
1992-06-01,417.84065258734904
1992-07-01,421.173514177286
1992-08-01,421.520405894019
1992-09-01,422.802271445809
1992-10-01,424.194506288992
1992-11-01,424.220199895802
1992-12-01,425.00542913276803
1993-01-01,425.168977259341
1993-02-01,426.414388475433
1993-03-01,425.911235554436
1993-04-01,428.60386117814005
1993-05-01,428.402794794288
1993-06-01,428.882945141402
1993-07-01,428.228144704584
1993-08-01,431.576191159838
1993-09-01,432.46953722250504
1993-10-01,435.11189159404097
1993-11-01,434.67651452160004
1993-12-01,435.214732978173
1994-01-01,429.673348116892
1994-02-01,431.822517502619
1994-03-01,430.97413552639506
1994-04-01,430.421049783743
1994-05-01,431.479620414899
1994-06-01,432.664132755104
1994-07-01,435.58351581758905
1994-08-01,436.796158302812
1994-09-01,440.618043322947
1994-10-01,432.347756702193
1994-11-01,436.50553387892
1994-12-01,436.75455885014503
1995-01-01,436.81010319204694
1995-02-01,439.48293232913596
1995-03-01,442.318985554376
1995-04-01,442.678137737143
1995-05-01,445.69688095838995
1995-06-01,446.98356218892405
1995-07-01,449.44164695206
1995-08-01,452.188414695957
1995-09-01,453.768711980259
1995-10-01,447.169276694971
1995-11-01,449.5204902593
1995-12-01,452.09908794643206
1996-01-01,454.681690101884
1996-02-01,455.64046789380797
1996-03-01,456.987978832508
1996-04-01,457.676889448061
1996-05-01,458.14298204955804
1996-06-01,459.781195061285
1996-07-01,460.214113577864
1996-08-01,459.888937920663
1996-09-01,459.69292579901804
1996-10-01,463.754203066804
1996-11-01,465.01997989112294
1996-12-01,465.51187052593
1997-01-01,458.888932800093
1997-02-01,459.497690057488
1997-03-01,460.840800225476
1997-04-01,463.919725347099
1997-05-01,465.105651879171
1997-06-01,465.553620329051
1997-07-01,464.757477021717
1997-08-01,466.44737734228204
1997-09-01,465.78227431347
1997-10-01,466.59454177521104
1997-11-01,468.17527652171
1997-12-01,468.544839465282
1998-01-01,470.625323096911
1998-02-01,471.989223392673
1998-03-01,473.277107017006
1998-04-01,474.449696726063
1998-05-01,477.45783063952103
1998-06-01,477.074328095505
1998-07-01,479.15254422955496
1998-08-01,480.52469763938905
1998-09-01,482.066318446018
1998-10-01,483.501540967638
1998-11-01,484.199397727695
1998-12-01,485.565560804104
1999-01-01,477.611088772536
1999-02-01,479.695616383093
1999-03-01,481.25505529922
1999-04-01,478.802969612406
1999-05-01,479.851726768023
1999-06-01,480.736786816384
1999-07-01,481.99204063836
1999-08-01,481.304519560725
1999-09-01,482.276239481813
1999-10-01,483.59437328377294
1999-11-01,484.66935153070096
1999-12-01,486.725390011635
2000-01-01,488.51370092544096
2000-02-01,488.742957520646
2000-03-01,489.59645112503097
2000-04-01,491.46026097864996
2000-05-01,492.29031264581
2000-06-01,495.232713257713
2000-07-01,492.168876682587
2000-08-01,493.242217684842
2000-09-01,494.833739598435
2000-10-01,496.57006915102403
2000-11-01,498.376255703903
2000-12-01,499.32118199139296
2001-01-01,502.65790604734497
2001-02-01,504.62041423753305
2001-03-01,508.763649648552
2001-04-01,509.490368364144
2001-05-01,510.018549766399
2001-06-01,514.037336285125
2001-07-01,515.031721916353
2001-08-01,518.1218430035859
2001-09-01,518.145654926274
2001-10-01,515.93936807124
2001-11-01,517.856494962467
2001-12-01,517.818365868881
2002-01-01,518.696091139459
2002-02-01,520.748978053076
2002-03-01,521.863080490481
2002-04-01,523.05496951983
2002-05-01,524.894596108121
2002-06-01,526.044956392522
2002-07-01,526.585185052404
2002-08-01,528.201959670805
2002-09-01,528.884937950749
2002-10-01,529.479379124247
2002-11-01,531.02158891919
2002-12-01,531.250120084558
2003-01-01,531.006045733933
2003-02-01,530.7754921569091
2003-03-01,531.774283187454
2003-04-01,532.192559021002
2003-05-01,533.870121189937
2003-06-01,534.631076496697
2003-07-01,537.0856911260489
2003-08-01,538.147458488531
2003-09-01,538.712407724545
2003-10-01,540.3683591070729
2003-11-01,540.888789171447
2003-12-01,541.931918604428
2004-01-01,541.403733821095
2004-02-01,541.5220343425631
2004-03-01,541.50502629065
2004-04-01,544.3047264633809
2004-05-01,544.5432632829061
2004-06-01,544.412913034655
2004-07-01,545.4356550689511
2004-08-01,545.919750899574
2004-09-01,546.7832532660141
2004-10-01,548.768977055053
2004-11-01,550.235161410542
2004-12-01,552.85721605666
2005-01-01,554.007272346557
2005-02-01,553.826119288587
2005-03-01,552.611548067708
2005-04-01,556.372654347725
2005-05-01,556.78570393809
2005-06-01,555.466170411834
2005-07-01,558.453567200941
2005-08-01,558.6845631862931
2005-09-01,560.198231241419
2005-10-01,560.288521406102
2005-11-01,561.230087016133
2005-12-01,561.939013292878
2006-01-01,562.94301232606
2006-02-01,565.8344342356501
2006-03-01,566.993935969692
