DATE,SMU36935616500000001SA
1990-01-01,481.318713103271
1990-02-01,483.35638810691705
1990-03-01,483.77495813371803
1990-04-01,484.76698447063103
1990-05-01,486.560223029767
1990-06-01,487.380059695792
1990-07-01,487.016652282569
1990-08-01,488.681547910571
1990-09-01,489.851271945713
1990-10-01,487.976884986267
1990-11-01,491.02574643288597
1990-12-01,491.61718093741206
1991-01-01,491.906843173917
1991-02-01,492.386177371841
1991-03-01,493.276205992536
1991-04-01,493.98470757685095
1991-05-01,495.069155575242
1991-06-01,495.862176938998
1991-07-01,498.363764027252
1991-08-01,499.382741513102
1991-09-01,499.899115183647
1991-10-01,500.617835211615
1991-11-01,501.39242353004
1991-12-01,501.628178536809
1992-01-01,504.754625306698
1992-02-01,505.42719656785795
1992-03-01,504.677319943361
1992-04-01,508.67554816814203
1992-05-01,509.225548168359
1992-06-01,511.53688040319395
1992-07-01,511.92203804152604
1992-08-01,512.94504427656
1992-09-01,514.772253018883
1992-10-01,513.234109353245
1992-11-01,513.936835935903
1992-12-01,516.149365640328
1993-01-01,521.064541422137
1993-02-01,519.0858768030159
1993-03-01,520.568010583514
1993-04-01,520.905613229891
1993-05-01,522.302405847998
1993-06-01,523.270747280169
1993-07-01,525.961381014437
1993-08-01,527.242506437682
1993-09-01,526.924048176594
1993-10-01,532.418530764065
1993-11-01,534.7745205201529
1993-12-01,536.2183211573899
1994-01-01,535.877237857283
1994-02-01,537.106829862259
1994-03-01,538.284238386968
1994-04-01,540.830401713012
1994-05-01,543.042799811698
1994-06-01,545.819349326148
1994-07-01,547.652368006343
1994-08-01,549.981133408105
1994-09-01,552.0433694090731
1994-10-01,552.9005815142131
1994-11-01,554.823196998035
1994-12-01,558.2930475972461
1995-01-01,558.096350758041
1995-02-01,557.705938066561
1995-03-01,558.94348254517
1995-04-01,558.7037567055539
1995-05-01,560.838704746812
1995-06-01,562.064742623073
1995-07-01,561.903841999556
1995-08-01,563.802270692432
1995-09-01,564.606512676222
1995-10-01,565.752132694343
1995-11-01,566.515692683076
1995-12-01,567.303074314617
1996-01-01,569.980937156669
1996-02-01,575.4054774982341
1996-03-01,575.562407883359
1996-04-01,576.61108375265
1996-05-01,578.777241571271
1996-06-01,579.746172658563
1996-07-01,576.660354614294
1996-08-01,577.111343721711
1996-09-01,577.1684815800891
1996-10-01,584.129941182134
1996-11-01,583.089416504464
1996-12-01,581.022135527745
1997-01-01,584.613524904056
1997-02-01,585.310328881072
1997-03-01,585.1891618141481
1997-04-01,586.785775195174
1997-05-01,586.076970514112
1997-06-01,588.243356510178
1997-07-01,590.641725600348
1997-08-01,590.6324260065239
1997-09-01,591.7330852806169
1997-10-01,593.042391997292
1997-11-01,591.884795413068
1997-12-01,594.036346531694
1998-01-01,591.3550298300161
1998-02-01,591.797935096981
1998-03-01,593.807717885718
1998-04-01,597.5705677710031
1998-05-01,598.121857665158
1998-06-01,600.0680768926629
1998-07-01,604.2629949620169
1998-08-01,606.1440325083599
1998-09-01,607.324548852554
1998-10-01,609.253232722936
1998-11-01,610.477994742763
1998-12-01,612.780334298257
1999-01-01,623.314148129747
1999-02-01,619.217735279944
1999-03-01,619.588227021877
1999-04-01,614.420544320962
1999-05-01,614.238946092894
1999-06-01,615.45685692882
1999-07-01,617.459128254563
1999-08-01,618.0588312728589
1999-09-01,614.690397211076
1999-10-01,615.817865420992
1999-11-01,618.264065062633
1999-12-01,619.797599667588
2000-01-01,627.6325151949
2000-02-01,624.831555871473
2000-03-01,625.4976175990171
2000-04-01,628.313480301191
2000-05-01,626.910374241435
2000-06-01,626.229954536543
2000-07-01,621.219158411714
2000-08-01,625.132980733551
2000-09-01,632.007843480441
2000-10-01,633.616326072491
2000-11-01,633.838775816449
2000-12-01,637.547787942544
2001-01-01,632.533849196397
2001-02-01,632.844992530484
2001-03-01,634.470790656361
2001-04-01,635.497723957202
2001-05-01,640.368611603201
2001-06-01,641.968907254612
2001-07-01,640.481016514771
2001-08-01,643.272056762119
2001-09-01,641.986334329024
2001-10-01,647.308125557195
2001-11-01,650.338456038181
2001-12-01,652.708732936119
2002-01-01,650.262012793056
2002-02-01,653.03106773919
2002-03-01,654.476886060649
2002-04-01,656.59772585906
2002-05-01,659.275310917512
2002-06-01,660.329371658889
2002-07-01,664.046051331513
2002-08-01,664.6132898158239
2002-09-01,666.885173834356
2002-10-01,665.284068578052
2002-11-01,667.044630004962
2002-12-01,666.503104547235
2003-01-01,670.4313376404081
2003-02-01,670.077975006815
2003-03-01,670.7123537532531
2003-04-01,671.230046848645
2003-05-01,671.409904859303
2003-06-01,673.547090608099
2003-07-01,674.615751256445
2003-08-01,673.705526139936
2003-09-01,675.270629140299
2003-10-01,676.308163045
2003-11-01,675.71468003561
2003-12-01,675.889863289985
2004-01-01,676.1200788664689
2004-02-01,677.349802248307
2004-03-01,679.409211420266
2004-04-01,677.963120734471
2004-05-01,681.346811463256
2004-06-01,681.604855532491
2004-07-01,684.055092250808
2004-08-01,683.243393052032
2004-09-01,680.367780630787
2004-10-01,681.825871557197
2004-11-01,681.801196863751
2004-12-01,684.102237762196
2005-01-01,687.5075740827699
2005-02-01,687.9985323044169
2005-03-01,689.1315808368539
2005-04-01,691.064638591916
2005-05-01,691.066429733253
2005-06-01,691.004973139308
2005-07-01,695.127364771205
2005-08-01,697.111833747672
2005-09-01,700.205272801324
2005-10-01,700.275494897238
2005-11-01,701.941689670989
2005-12-01,702.466367531682
2006-01-01,702.756942472602
2006-02-01,703.877757076014
2006-03-01,704.7887500320061
2006-04-01,708.7637618777521
