DATE,SMU25716546500000001SA
1990-01-01,256.662668021105
1990-02-01,257.213052731773
1990-03-01,256.77637165678397
1990-04-01,257.881897589887
1990-05-01,258.743790960978
1990-06-01,259.28406772607497
1990-07-01,258.07404889879797
1990-08-01,258.93201025697897
1990-09-01,258.931445507576
1990-10-01,258.844327211621
1990-11-01,259.760363053249
1990-12-01,259.760941125635
1991-01-01,260.087843999726
1991-02-01,261.272007257447
1991-03-01,263.59566753269297
1991-04-01,261.601438130584
1991-05-01,260.71361542476103
1991-06-01,260.713161117981
1991-07-01,261.391505023604
1991-08-01,261.734818063249
1991-09-01,261.868677410773
1991-10-01,264.02678551635603
1991-11-01,264.419088031312
1991-12-01,265.114276673532
1992-01-01,264.47775747176496
1992-02-01,264.900458232559
1992-03-01,265.569552761556
1992-04-01,265.45753084561795
1992-05-01,266.13092157356203
1992-06-01,267.097917080904
1992-07-01,266.98860747501
1992-08-01,267.764833034367
1992-09-01,269.221664421347
1992-10-01,270.788560719368
1992-11-01,270.226272873471
1992-12-01,269.55792489145
1993-01-01,274.10270470062403
1993-02-01,272.879506408692
1993-03-01,274.719838984076
1993-04-01,275.223025450586
1993-05-01,276.258059411595
1993-06-01,276.575323499547
1993-07-01,278.246830142365
1993-08-01,279.000841728124
1993-09-01,278.578239257843
1993-10-01,278.30091291996797
1993-11-01,279.264864687095
1993-12-01,279.114852225578
1994-01-01,277.045214555854
1994-02-01,279.187341638428
1994-03-01,279.38349236946704
1994-04-01,281.203817017814
1994-05-01,280.875505770174
1994-06-01,281.908132098742
1994-07-01,282.852006839416
1994-08-01,283.472844594878
1994-09-01,283.901248642202
1994-10-01,282.976329557012
1994-11-01,283.289213299964
1994-12-01,284.134871722439
1995-01-01,286.370605615132
1995-02-01,287.063376164751
1995-03-01,287.471130432834
1995-04-01,287.78233219642203
1995-05-01,289.369682551349
1995-06-01,289.847701446297
1995-07-01,291.471323056379
1995-08-01,291.087644457144
1995-09-01,291.261050737714
1995-10-01,294.440010569623
1995-11-01,295.059327779258
1995-12-01,294.8054770304
1996-01-01,292.28140508596
1996-02-01,294.229432380851
1996-03-01,294.663493454754
1996-04-01,296.497257087713
1996-05-01,296.23486354200503
1996-06-01,296.060202460425
1996-07-01,295.479678050374
1996-08-01,295.960828870221
1996-09-01,295.609994566883
1996-10-01,295.915514991185
1996-11-01,296.089874749748
1996-12-01,295.956264521613
1997-01-01,298.942902862384
1997-02-01,299.262282687238
1997-03-01,298.728802179609
1997-04-01,298.300046989833
1997-05-01,298.057750721077
1997-06-01,296.80859670561404
1997-07-01,295.86661373021303
1997-08-01,296.39341564564
1997-09-01,296.902703889353
1997-10-01,296.93871317879797
1997-11-01,296.644729796385
1997-12-01,296.93988394028304
1998-01-01,297.417525118914
1998-02-01,297.58244330907
1998-03-01,298.486957453386
1998-04-01,298.317219730778
1998-05-01,298.571856340668
1998-06-01,299.36644707113896
1998-07-01,298.992947536494
1998-08-01,298.416359729905
1998-09-01,298.004229171649
1998-10-01,296.602282004868
1998-11-01,296.40353067997
1998-12-01,295.822667785918
1999-01-01,293.443411061903
1999-02-01,294.141861952596
1999-03-01,294.653976428292
1999-04-01,293.759431152404
1999-05-01,293.448559279631
1999-06-01,294.853157251577
1999-07-01,293.09869288248797
1999-08-01,297.061006478588
1999-09-01,294.109258650274
1999-10-01,294.869669733413
1999-11-01,294.700018067303
1999-12-01,294.710506502989
2000-01-01,294.55363550367804
2000-02-01,294.073126207853
2000-03-01,293.656837891168
2000-04-01,292.593732924253
2000-05-01,292.570761128423
2000-06-01,292.21215147187
2000-07-01,292.609384763559
2000-08-01,294.720823105923
2000-09-01,296.810112449769
2000-10-01,293.91070653416597
2000-11-01,294.39779968896596
2000-12-01,294.70400506724997
2001-01-01,294.113923258878
2001-02-01,295.458500062589
2001-03-01,294.127422910807
2001-04-01,295.234340293243
2001-05-01,295.696658673066
2001-06-01,296.47460266730803
2001-07-01,298.591335147165
2001-08-01,298.582935433169
2001-09-01,298.272062300166
2001-10-01,299.546770081333
2001-11-01,299.606681837569
2001-12-01,300.150668526982
2002-01-01,301.385978208124
2002-02-01,301.603225496439
2002-03-01,303.169556037954
2002-04-01,303.856971146936
2002-05-01,303.96047730053397
2002-06-01,304.284469039469
2002-07-01,304.49089187810904
2002-08-01,304.450751253938
2002-09-01,306.025487755115
2002-10-01,306.209247977464
2002-11-01,307.521788501537
2002-12-01,307.624024995183
2003-01-01,307.438114227959
2003-02-01,305.750748207363
2003-03-01,307.252062457858
2003-04-01,307.928921380816
2003-05-01,307.756960873268
2003-06-01,308.857168721681
2003-07-01,305.433279988994
2003-08-01,304.07407292433896
2003-09-01,305.311844398769
2003-10-01,309.073529742851
2003-11-01,309.278231590391
2003-12-01,309.806778828939
2004-01-01,310.305992499313
2004-02-01,310.800399723935
2004-03-01,311.527733054244
2004-04-01,311.583830923248
2004-05-01,311.881380165784
2004-06-01,312.377895999256
2004-07-01,313.278887814225
2004-08-01,312.520044674146
2004-09-01,314.998609189717
2004-10-01,313.21749263085997
2004-11-01,312.691124791635
2004-12-01,313.091435151158
2005-01-01,312.347815740732
2005-02-01,314.00270334363097
2005-03-01,313.81748917614397
2005-04-01,315.2121810248
2005-05-01,315.767505187538
2005-06-01,315.768290738627
2005-07-01,316.545943761905
2005-08-01,316.84606140236696
2005-09-01,317.054247603058
2005-10-01,318.544135303048
2005-11-01,319.557505352357
2005-12-01,319.915892697852
2006-01-01,321.849040649847
2006-02-01,322.259799893732
2006-03-01,323.896227552118
2006-04-01,323.418923555313
