DATE,TAMP312EDUH
1990-01-01,109.918282003803
1990-02-01,110.555412697928
1990-03-01,110.877975971377
1990-04-01,111.55806735213899
1990-05-01,111.962925689847
1990-06-01,112.38315167568899
1990-07-01,112.93874844330799
1990-08-01,113.46120094554001
1990-09-01,113.72305752512199
1990-10-01,113.64315408621401
1990-11-01,113.88628319402399
1990-12-01,114.423533530343
1991-01-01,114.974494014761
1991-02-01,115.109860298251
1991-03-01,115.283976025713
1991-04-01,114.734938005814
1991-05-01,115.48856229184
1991-06-01,115.59449413988101
1991-07-01,115.096678281915
1991-08-01,115.545493710646
1991-09-01,115.86679370188
1991-10-01,117.008027990942
1991-11-01,117.948267477317
1991-12-01,118.192789422863
1992-01-01,120.065663723824
1992-02-01,120.31817978286199
1992-03-01,120.398587918725
1992-04-01,122.604261544846
1992-05-01,122.32957643120199
1992-06-01,122.71241876837
1992-07-01,123.27813077288
1992-08-01,123.532654264312
1992-09-01,123.870013601173
1992-10-01,124.47331667438
1992-11-01,124.577026100535
1992-12-01,124.94457250564899
1993-01-01,125.002808622914
1993-02-01,125.581458106441
1993-03-01,125.934076695715
1993-04-01,126.434081952572
1993-05-01,126.95071668208901
1993-06-01,127.93743741268601
1993-07-01,128.849702636752
1993-08-01,129.286795685572
1993-09-01,130.089502491835
1993-10-01,129.932899068641
1993-11-01,130.385268847298
1993-12-01,131.19941419337098
1994-01-01,130.190570667798
1994-02-01,131.521825314382
1994-03-01,132.552251879349
1994-04-01,133.951262012542
1994-05-01,134.72642225609502
1994-06-01,135.724893593025
1994-07-01,137.311377427689
1994-08-01,137.557535514608
1994-09-01,138.523376616083
1994-10-01,139.864469008962
1994-11-01,140.193707434294
1994-12-01,140.505398407276
1995-01-01,141.609416083635
1995-02-01,141.91947385954398
1995-03-01,142.013697286357
1995-04-01,140.34098441212998
1995-05-01,140.770125532064
1995-06-01,141.48888534251802
1995-07-01,142.115451825051
1995-08-01,142.64832212487602
1995-09-01,142.679773295989
1995-10-01,141.98652514597902
1995-11-01,142.47516749624398
1995-12-01,142.75981076730102
1996-01-01,140.288045373347
1996-02-01,140.458299868403
1996-03-01,141.047748154175
1996-04-01,141.811145241782
1996-05-01,142.11213612883301
1996-06-01,141.853389650366
1996-07-01,141.221856022699
1996-08-01,141.450858146987
1996-09-01,141.49731764511998
1996-10-01,141.912766083809
1996-11-01,142.082099278406
1996-12-01,142.323840118806
1997-01-01,140.41037005841102
1997-02-01,140.650637811494
1997-03-01,140.66329724913402
1997-04-01,141.179447237613
1997-05-01,141.91228690379
1997-06-01,142.142092486448
1997-07-01,141.954240813645
1997-08-01,142.40215754980102
1997-09-01,142.919064800608
1997-10-01,140.36194454065
1997-11-01,141.147383846407
1997-12-01,142.046425040821
1998-01-01,143.888609209446
1998-02-01,144.359089126475
1998-03-01,143.412858902127
1998-04-01,141.992781338091
1998-05-01,142.85452826096
1998-06-01,143.236745604318
1998-07-01,143.15896728122
1998-08-01,143.137685990763
1998-09-01,142.346376991735
1998-10-01,142.28391592767
1998-11-01,141.478295584345
1998-12-01,141.848176585947
1999-01-01,141.717965813405
1999-02-01,142.277316379517
1999-03-01,142.367447684317
1999-04-01,140.43215850060102
1999-05-01,141.617618351571
1999-06-01,141.243365929276
1999-07-01,141.98873526218
1999-08-01,141.39573597108298
1999-09-01,141.734226563601
1999-10-01,142.345185826703
1999-11-01,142.459552157099
1999-12-01,142.549972922772
2000-01-01,143.53645088384002
2000-02-01,143.687542571835
2000-03-01,143.691964243615
2000-04-01,143.786172168459
2000-05-01,142.609864397337
2000-06-01,141.77141509050801
2000-07-01,142.566309532273
2000-08-01,142.608608850917
2000-09-01,142.880177096031
2000-10-01,142.232274316034
2000-11-01,142.460230439724
2000-12-01,142.342835278611
2001-01-01,141.579071956051
2001-02-01,141.344953434394
2001-03-01,141.688385873644
2001-04-01,142.015633183301
2001-05-01,142.42522493146
2001-06-01,143.180346796625
2001-07-01,142.93460718530898
2001-08-01,143.489903746392
2001-09-01,143.84646133030398
2001-10-01,144.179949581757
2001-11-01,144.275817175993
2001-12-01,145.146231032951
2002-01-01,143.837621743703
2002-02-01,143.80440570826
2002-03-01,144.567739463502
2002-04-01,144.785769062062
2002-05-01,145.662823200215
2002-06-01,145.768784468468
2002-07-01,146.007887376919
2002-08-01,146.500080167355
2002-09-01,146.781263024429
2002-10-01,147.492458317173
2002-11-01,148.182872640081
2002-12-01,148.53233543364402
2003-01-01,148.106426124392
2003-02-01,148.35480244286398
2003-03-01,148.94145327937701
2003-04-01,149.41270695606198
2003-05-01,149.98629331587
2003-06-01,150.171416421885
2003-07-01,151.034749658708
2003-08-01,152.086384645285
2003-09-01,152.79281800159
2003-10-01,151.968606652294
2003-11-01,152.063656797035
2003-12-01,152.388320598349
2004-01-01,153.520614687841
2004-02-01,153.796866081601
2004-03-01,153.87714703406098
2004-04-01,154.492890244557
2004-05-01,155.15797742061
2004-06-01,155.426676062313
2004-07-01,155.79068981196198
2004-08-01,155.87495094335802
2004-09-01,156.072637688563
2004-10-01,156.142582628408
2004-11-01,156.454746748743
2004-12-01,156.551146016101
2005-01-01,157.128693602237
2005-02-01,157.01902320640102
2005-03-01,156.901700611494
2005-04-01,157.679178819739
2005-05-01,157.300661254223
2005-06-01,157.63385906432302
2005-07-01,158.143173657127
2005-08-01,158.248119593322
2005-09-01,158.043822475789
2005-10-01,158.210072359459
2005-11-01,157.957444680201
2005-12-01,158.425888221689
2006-01-01,159.03661462894698
2006-02-01,159.559733914487
2006-03-01,159.978435910667
