DATE,SMU06310806500000001SA
1990-01-01,484.612654947445
1990-02-01,485.73738157879404
1990-03-01,487.007889600782
1990-04-01,489.97788539578596
1990-05-01,490.313964350361
1990-06-01,492.334199537841
1990-07-01,485.519004055702
1990-08-01,488.279994753965
1990-09-01,485.528766172748
1990-10-01,491.523679453535
1990-11-01,492.889795198948
1990-12-01,493.701156450861
1991-01-01,481.591749385685
1991-02-01,481.85105218242796
1991-03-01,481.24009583620796
1991-04-01,484.14015103895696
1991-05-01,484.333860954671
1991-06-01,484.74598453765503
1991-07-01,485.017692010963
1991-08-01,485.109783970754
1991-09-01,479.829649823917
1991-10-01,494.023254815566
1991-11-01,493.761347545265
1991-12-01,493.539033471259
1992-01-01,478.44949550879096
1992-02-01,481.52960240632007
1992-03-01,483.122332669249
1992-04-01,482.197078186586
1992-05-01,481.82091446360397
1992-06-01,481.851802295393
1992-07-01,483.46315910249496
1992-08-01,483.72260939939696
1992-09-01,485.41100149474
1992-10-01,478.96298007017305
1992-11-01,477.914228706743
1992-12-01,478.84707754717004
1993-01-01,481.018853854619
1993-02-01,478.430158222694
1993-03-01,477.49133999010496
1993-04-01,474.00042199252505
1993-05-01,473.27942473827903
1993-06-01,476.247181574159
1993-07-01,480.93251494117203
1993-08-01,480.28680001481797
1993-09-01,480.701551570933
1993-10-01,480.274293276035
1993-11-01,481.418698319272
1993-12-01,484.004567813695
1994-01-01,483.401278729161
1994-02-01,482.847490488393
1994-03-01,484.84390640777605
1994-04-01,484.28482678149203
1994-05-01,485.262814455248
1994-06-01,488.207990496379
1994-07-01,487.841461474031
1994-08-01,489.01658212099295
1994-09-01,489.905742597435
1994-10-01,489.736999341289
1994-11-01,491.901697132742
1994-12-01,492.04484551662597
1995-01-01,491.51172414318495
1995-02-01,490.12385967269205
1995-03-01,489.51642053283206
1995-04-01,493.205322265687
1995-05-01,495.050571117918
1995-06-01,495.730708019736
1995-07-01,495.71784857194604
1995-08-01,495.750117390054
1995-09-01,498.15775386235003
1995-10-01,500.87279971675906
1995-11-01,503.443635247413
1995-12-01,505.365103349709
1996-01-01,505.645427497041
1996-02-01,508.31240084029406
1996-03-01,510.451974061584
1996-04-01,517.532093451089
1996-05-01,517.7464416006981
1996-06-01,518.014181047591
1996-07-01,521.825938460029
1996-08-01,522.024412670636
1996-09-01,522.061385976733
1996-10-01,520.028297393936
1996-11-01,521.906087789931
1996-12-01,523.154251254198
1997-01-01,523.828768812856
1997-02-01,525.734137089972
1997-03-01,526.282171385497
1997-04-01,526.1818702334771
1997-05-01,526.154365613673
1997-06-01,529.402034407445
1997-07-01,528.131153059534
1997-08-01,530.949663074171
1997-09-01,527.798017134836
1997-10-01,530.35533112966
1997-11-01,529.306444750037
1997-12-01,530.128812181812
1998-01-01,535.344187710783
1998-02-01,536.457286111407
1998-03-01,536.570836493088
1998-04-01,547.063950944248
1998-05-01,552.25099437223
1998-06-01,553.977748592258
1998-07-01,549.567973717308
1998-08-01,549.858942523187
1998-09-01,553.7182316951889
1998-10-01,554.239352688004
1998-11-01,556.224320387036
1998-12-01,555.500189985912
1999-01-01,559.051386655159
1999-02-01,560.0323942671499
1999-03-01,559.942530912225
1999-04-01,558.5758898816471
1999-05-01,557.2252993977401
1999-06-01,557.9170097232189
1999-07-01,560.867906678523
1999-08-01,558.973434158552
1999-09-01,564.472566872078
1999-10-01,567.1968568307051
1999-11-01,568.85212752163
1999-12-01,569.830134340561
2000-01-01,571.716297263361
2000-02-01,572.399294672068
2000-03-01,573.781824408759
2000-04-01,577.336673582648
2000-05-01,577.409576349654
2000-06-01,578.732508424664
2000-07-01,579.468603475148
2000-08-01,581.35228907882
2000-09-01,583.072443800393
2000-10-01,582.628316982547
2000-11-01,584.386502083696
2000-12-01,588.347093588459
2001-01-01,589.4374835111711
2001-02-01,593.912672339658
2001-03-01,597.9568347089489
2001-04-01,599.274575814398
2001-05-01,602.5455260767401
2001-06-01,605.2324494555
2001-07-01,609.735464898473
2001-08-01,612.8671607300599
2001-09-01,613.966181331461
2001-10-01,620.122906087233
2001-11-01,622.857015376717
2001-12-01,625.631054284397
2002-01-01,625.70606677851
2002-02-01,627.504172886539
2002-03-01,629.049214193538
2002-04-01,635.802830448359
2002-05-01,639.4828510629519
2002-06-01,641.953526864676
2002-07-01,643.794131739053
2002-08-01,646.157819642635
2002-09-01,648.528251228862
2002-10-01,652.058438980819
2002-11-01,655.446570681402
2002-12-01,657.256150306889
2003-01-01,657.167890622295
2003-02-01,660.146853709779
2003-03-01,663.118669354403
2003-04-01,669.237597007416
2003-05-01,673.08345619983
2003-06-01,676.7318982205439
2003-07-01,680.149640634876
2003-08-01,682.788304910167
2003-09-01,684.827816806774
2003-10-01,688.150004891051
2003-11-01,690.2488460361749
2003-12-01,693.134964613241
2004-01-01,694.846648033965
2004-02-01,696.957061661737
2004-03-01,698.4016467720239
2004-04-01,698.791738991575
2004-05-01,699.108807195612
2004-06-01,700.343914728155
2004-07-01,701.8384531116529
2004-08-01,704.710185248572
2004-09-01,705.437298865253
2004-10-01,706.6449995579
2004-11-01,707.888052444274
2004-12-01,709.97163768948
2005-01-01,713.1832690564501
2005-02-01,713.797316641397
2005-03-01,714.87991863099
2005-04-01,719.837190547424
2005-05-01,722.997686957648
2005-06-01,726.9070331848101
2005-07-01,725.334405211211
2005-08-01,730.212546515728
2005-09-01,733.566921530255
2005-10-01,734.720605775832
2005-11-01,736.7566987448821
2005-12-01,738.612494560009
2006-01-01,739.869701768809
2006-02-01,741.8824181913519
2006-03-01,742.465587467153
