DATE,SEAT653EDUH
1990-01-01,120.464155597248
1990-02-01,121.159387721639
1990-03-01,122.151058446565
1990-04-01,123.091541700141
1990-05-01,123.907327699243
1990-06-01,125.07789248934401
1990-07-01,124.47146527535601
1990-08-01,125.47899129637
1990-09-01,126.177437282435
1990-10-01,126.787445634987
1990-11-01,127.443374844313
1990-12-01,128.18810107459998
1991-01-01,127.981777348403
1991-02-01,128.4741393836
1991-03-01,129.485408206144
1991-04-01,130.158228804949
1991-05-01,131.105839764128
1991-06-01,131.40801471352
1991-07-01,132.232663343083
1991-08-01,132.728183224293
1991-09-01,133.308916293008
1991-10-01,133.962500340849
1991-11-01,134.487190780155
1991-12-01,134.742417737892
1992-01-01,135.556068827135
1992-02-01,135.93912582383498
1992-03-01,135.409753518267
1992-04-01,136.229185987203
1992-05-01,136.501791442987
1992-06-01,137.333794609643
1992-07-01,138.78506857691602
1992-08-01,138.789392917179
1992-09-01,139.185056456164
1992-10-01,138.870192260804
1992-11-01,140.24587681372
1992-12-01,141.723125186425
1993-01-01,141.589360670245
1993-02-01,142.45512154633
1993-03-01,143.70660767914
1993-04-01,146.488420438071
1993-05-01,147.184104317389
1993-06-01,148.021614721406
1993-07-01,145.77897389711399
1993-08-01,146.616618164503
1993-09-01,147.510303944055
1993-10-01,145.990174987189
1993-11-01,146.07155745088198
1993-12-01,146.694544532717
1994-01-01,148.137622481683
1994-02-01,148.019828819586
1994-03-01,147.735766484713
1994-04-01,148.566841145878
1994-05-01,148.603851408077
1994-06-01,148.903551260732
1994-07-01,149.958027926813
1994-08-01,150.459750199218
1994-09-01,151.144840679821
1994-10-01,148.84178446186502
1994-11-01,150.040718835038
1994-12-01,151.094821032232
1995-01-01,152.195904061204
1995-02-01,152.321959027723
1995-03-01,153.219810043113
1995-04-01,152.828051321203
1995-05-01,153.436757821049
1995-06-01,153.74277952258302
1995-07-01,154.74482158696898
1995-08-01,154.886468646269
1995-09-01,155.299035845355
1995-10-01,152.603620196169
1995-11-01,152.813671485756
1995-12-01,152.858273200371
1996-01-01,153.308124659194
1996-02-01,153.955328036938
1996-03-01,154.561015021059
1996-04-01,154.720258102136
1996-05-01,155.013787754845
1996-06-01,156.06743721300398
1996-07-01,155.912037405983
1996-08-01,156.383135892576
1996-09-01,156.720952108543
1996-10-01,158.824272003333
1996-11-01,160.307510121026
1996-12-01,161.736562211978
1997-01-01,161.265861686355
1997-02-01,161.832244114346
1997-03-01,162.570762556356
1997-04-01,164.57653168512
1997-05-01,164.379805316408
1997-06-01,164.983446143513
1997-07-01,165.394984705872
1997-08-01,166.70086220576
1997-09-01,167.572742853218
1997-10-01,166.86080669856898
1997-11-01,167.319288417789
1997-12-01,168.323446868597
1998-01-01,169.969566976761
1998-02-01,171.014829791472
1998-03-01,171.771229782934
1998-04-01,173.068128900858
1998-05-01,174.344461864608
1998-06-01,174.66545683646498
1998-07-01,174.75894970582002
1998-08-01,174.86647604854699
1998-09-01,175.258137945916
1998-10-01,176.19882136113998
1998-11-01,176.46114188502702
1998-12-01,177.05580156795799
1999-01-01,175.627565869342
1999-02-01,175.17723237733398
1999-03-01,175.594345560939
1999-04-01,175.402328636625
1999-05-01,175.985487436441
1999-06-01,176.541686590115
1999-07-01,178.28612607988498
1999-08-01,178.14248516593798
1999-09-01,178.550499769987
1999-10-01,178.97683910086
1999-11-01,178.771124152671
1999-12-01,179.566175096321
2000-01-01,180.88486628100603
2000-02-01,181.668066286532
2000-03-01,183.622035039089
2000-04-01,181.669464761609
2000-05-01,181.74739861077703
2000-06-01,182.605854904538
2000-07-01,185.57941167253298
2000-08-01,185.768116963316
2000-09-01,185.277308191746
2000-10-01,184.882513576853
2000-11-01,185.27978663715302
2000-12-01,185.570708165523
2001-01-01,181.90909961454702
2001-02-01,182.90812039002202
2001-03-01,182.873760657952
2001-04-01,184.243495018028
2001-05-01,184.261273754086
2001-06-01,184.350084124183
2001-07-01,184.244050165997
2001-08-01,185.33313181637402
2001-09-01,186.716797754916
2001-10-01,187.05490826101502
2001-11-01,187.924105154166
2001-12-01,188.35722730931
2002-01-01,189.07207507437
2002-02-01,189.089690092422
2002-03-01,189.500585916856
2002-04-01,189.268446054028
2002-05-01,189.795802449137
2002-06-01,189.900823556405
2002-07-01,190.221039312475
2002-08-01,190.401019928249
2002-09-01,190.35272329781898
2002-10-01,191.463638302314
2002-11-01,192.261989475914
2002-12-01,192.756174554543
2003-01-01,192.988029328055
2003-02-01,193.406853200432
2003-03-01,194.15079828686797
2003-04-01,194.75943264577302
2003-05-01,194.470510958722
2003-06-01,194.920241676929
2003-07-01,195.521443846794
2003-08-01,195.066429674903
2003-09-01,194.711887085939
2003-10-01,194.91860256445202
2003-11-01,194.937287257452
2003-12-01,195.041495458178
2004-01-01,194.10359441366901
2004-02-01,193.947838765465
2004-03-01,193.83248197686
2004-04-01,193.950478096038
2004-05-01,194.188617391709
2004-06-01,194.761054516915
2004-07-01,194.6131039043
2004-08-01,194.899173849407
2004-09-01,195.229637081156
2004-10-01,195.538763389228
2004-11-01,195.774103824651
2004-12-01,195.82457070715802
2005-01-01,196.520684160428
2005-02-01,196.380197654292
2005-03-01,196.90736389858003
2005-04-01,197.907590145826
2005-05-01,198.234646058625
2005-06-01,198.195591746654
2005-07-01,198.375364222611
2005-08-01,198.972910582772
2005-09-01,200.26409832501201
2005-10-01,199.329750276745
2005-11-01,199.619163489416
2005-12-01,199.789423829044
2006-01-01,200.22111691620097
2006-02-01,200.51158391419798
2006-03-01,200.904708489844
2006-04-01,200.997434391162
