DATE,DALL148EDUH
2000-01-01,242.673627200024
2000-02-01,242.14192552561798
2000-03-01,243.490971382607
2000-04-01,243.64410325420602
2000-05-01,244.48533817041303
2000-06-01,244.703783484659
2000-07-01,244.986505212733
2000-08-01,245.11457499306
2000-09-01,246.367412415597
2000-10-01,246.38821922247
2000-11-01,246.807655797038
2000-12-01,247.591963467282
2001-01-01,249.435431951562
2001-02-01,250.381924203157
2001-03-01,251.39823065964902
2001-04-01,252.24594818840401
2001-05-01,253.262295849758
2001-06-01,256.17437658026404
2001-07-01,256.166199489576
2001-08-01,256.591314052852
2001-09-01,256.56358488472
2001-10-01,256.825188775051
2001-11-01,257.494898405218
2001-12-01,258.282065020461
2002-01-01,260.094388701494
2002-02-01,260.762871150279
2002-03-01,261.142715299073
2002-04-01,261.990957285032
2002-05-01,263.215999078432
2002-06-01,263.374110250846
2002-07-01,262.764093176423
2002-08-01,264.548869977391
2002-09-01,265.135690554118
2002-10-01,264.668239119582
2002-11-01,266.205183089754
2002-12-01,267.10990359122
2003-01-01,270.634548320192
2003-02-01,270.229337489721
2003-03-01,270.604327632582
2003-04-01,270.653809277627
2003-05-01,271.024634106321
2003-06-01,270.569719985668
2003-07-01,271.747005708877
2003-08-01,271.71112235854997
2003-09-01,271.973861074683
2003-10-01,273.718706107772
2003-11-01,273.984933486466
2003-12-01,272.988423631505
2004-01-01,273.125129511608
2004-02-01,274.44232920605
2004-03-01,275.009281792541
2004-04-01,275.548931191706
2004-05-01,275.601254330564
2004-06-01,274.38227678145
2004-07-01,276.671358186483
2004-08-01,276.330677079157
2004-09-01,277.561098564086
2004-10-01,282.499142102843
2004-11-01,282.859952686714
2004-12-01,284.514656995334
2005-01-01,282.57647576579
2005-02-01,283.176783994003
2005-03-01,283.84367011111
2005-04-01,286.360271234018
2005-05-01,286.92010516665
2005-06-01,287.74113513216304
2005-07-01,291.655490115168
2005-08-01,290.58225924119097
2005-09-01,291.236544143723
2005-10-01,293.318307556874
2005-11-01,293.928211127369
2005-12-01,295.064500463865
2006-01-01,298.294633173772
2006-02-01,297.940984232239
2006-03-01,297.864391287017
2006-04-01,298.18208221632597
2006-05-01,298.759331108045
2006-06-01,301.274409384545
2006-07-01,301.41709988959303
2006-08-01,304.123830271703
2006-09-01,305.502646304599
2006-10-01,306.286539676144
2006-11-01,307.683060327254
2006-12-01,310.490219097575
2007-01-01,309.275825701519
2007-02-01,311.924204764173
2007-03-01,313.983976988759
2007-04-01,314.625732017259
2007-05-01,315.88921629478
2007-06-01,317.261367457647
2007-07-01,317.57261912194997
2007-08-01,318.995271587764
2007-09-01,320.092446927681
2007-10-01,320.712111617006
2007-11-01,322.527575531213
2007-12-01,323.072426548012
2008-01-01,325.060730225662
2008-02-01,327.70690284413797
2008-03-01,327.233921925785
2008-04-01,327.393960630933
2008-05-01,329.769943920277
2008-06-01,329.24673821498
2008-07-01,330.811776548223
2008-08-01,331.214828670382
2008-09-01,332.162441484141
2008-10-01,332.426055001832
2008-11-01,334.096451299683
2008-12-01,336.23135353971804
2009-01-01,337.520927285908
2009-02-01,338.07608883050597
2009-03-01,339.491308631484
2009-04-01,341.032623461146
2009-05-01,342.483779729409
2009-06-01,343.7455369579
2009-07-01,346.566913332422
2009-08-01,347.155964339764
2009-09-01,348.66464239788104
2009-10-01,351.115518679243
2009-11-01,351.53004346319
2009-12-01,352.577673948982
2010-01-01,351.71464322962896
2010-02-01,352.481652864387
2010-03-01,354.45352497274905
2010-04-01,356.16508686628
2010-05-01,357.051278748321
2010-06-01,357.77830975639
2010-07-01,358.08365752922
2010-08-01,358.836621828184
2010-09-01,359.466212308111
2010-10-01,361.532636378257
2010-11-01,362.027669959797
2010-12-01,363.085154536642
2011-01-01,364.91067385717497
2011-02-01,363.48387022241303
2011-03-01,365.985102761883
2011-04-01,367.677938653821
2011-05-01,368.806142877016
2011-06-01,370.583115071296
2011-07-01,371.78934563751096
2011-08-01,371.92730615579103
2011-09-01,374.396046378543
2011-10-01,373.29280525311
2011-11-01,374.047330213909
2011-12-01,375.420785657278
2012-01-01,376.559873167763
2012-02-01,377.51597460114095
2012-03-01,378.509105867536
2012-04-01,377.656363300777
2012-05-01,377.467521308854
2012-06-01,378.32309014807197
2012-07-01,378.58372398632497
2012-08-01,379.496175105273
2012-09-01,380.115499128563
2012-10-01,379.962456412825
2012-11-01,380.546744932359
2012-12-01,381.38899145566495
2013-01-01,380.937005558538
2013-02-01,382.719979497695
2013-03-01,383.245966372059
2013-04-01,385.252084478184
2013-05-01,385.991233743032
2013-06-01,386.479030111027
2013-07-01,386.964401991658
2013-08-01,388.868508446241
2013-09-01,390.09478197986
2013-10-01,390.951713247781
2013-11-01,392.478003505285
2013-12-01,392.386618814325
2014-01-01,394.02825393264396
2014-02-01,394.943395008827
2014-03-01,395.91953324764296
2014-04-01,395.90742351467696
2014-05-01,397.090802366574
2014-06-01,398.54051602657097
2014-07-01,398.656186299786
2014-08-01,401.010672664765
2014-09-01,402.104991382208
2014-10-01,404.18455139323197
2014-11-01,405.83773522544504
2014-12-01,407.079431621207
2015-01-01,407.25283807516
2015-02-01,408.365147347962
2015-03-01,408.73710337498596
2015-04-01,412.299416233221
2015-05-01,414.658875457668
2015-06-01,416.01230863588205
2015-07-01,417.84080985388704
2015-08-01,418.66287214315804
2015-09-01,418.36221657073503
2015-10-01,420.60343536314
2015-11-01,421.849835409518
2015-12-01,422.894009447413
2016-01-01,424.418785444836
2016-02-01,425.22389160993106
2016-03-01,425.719881447116
2016-04-01,426.570408340189
