DATE,PHOE004EDUH
2002-01-01,151.106400634473
2002-02-01,151.501626288035
2002-03-01,152.246254620605
2002-04-01,152.66931990932198
2002-05-01,154.293418068833
2002-06-01,155.192859449352
2002-07-01,155.018544428121
2002-08-01,156.613836574456
2002-09-01,156.79067063904898
2002-10-01,158.86542837788
2002-11-01,160.268647910954
2002-12-01,160.666990689548
2003-01-01,161.34530858457398
2003-02-01,162.09695459373
2003-03-01,162.45321126682
2003-04-01,164.42566981452802
2003-05-01,164.917872353247
2003-06-01,165.567130281029
2003-07-01,166.777278342037
2003-08-01,167.31948709692801
2003-09-01,168.13079353134898
2003-10-01,168.481617990942
2003-11-01,169.114038155058
2003-12-01,169.635889113447
2004-01-01,171.19221791724001
2004-02-01,171.954422207653
2004-03-01,172.478532000764
2004-04-01,174.56585949046
2004-05-01,175.240429857869
2004-06-01,176.449848181451
2004-07-01,177.131508346186
2004-08-01,177.409108796627
2004-09-01,178.010377751068
2004-10-01,180.100618140774
2004-11-01,180.617270743148
2004-12-01,181.932529131818
2005-01-01,179.57297862935502
2005-02-01,180.142130678835
2005-03-01,182.64791740027002
2005-04-01,186.386623209309
2005-05-01,187.63668266908002
2005-06-01,187.611013250955
2005-07-01,187.883809197039
2005-08-01,188.923771855778
2005-09-01,189.664071198052
2005-10-01,190.01674344810502
2005-11-01,190.780679075401
2005-12-01,191.228319089687
2006-01-01,193.59724712781897
2006-02-01,194.67988017149398
2006-03-01,196.471455777319
2006-04-01,197.589861986447
2006-05-01,198.51312828918597
2006-06-01,199.627714978349
2006-07-01,201.346833892121
2006-08-01,202.470448876235
2006-09-01,203.103432617692
2006-10-01,202.877044706622
2006-11-01,203.672403406915
2006-12-01,205.324038056157
2007-01-01,205.180630361596
2007-02-01,206.92642345429297
2007-03-01,207.852050465686
2007-04-01,207.034541118309
2007-05-01,207.71078891838502
2007-06-01,210.68287240562302
2007-07-01,210.438164173647
2007-08-01,211.54299606258098
2007-09-01,212.575743153427
2007-10-01,215.079879931573
2007-11-01,214.95958083943
2007-12-01,215.700220830433
2008-01-01,216.593308431101
2008-02-01,218.395233448106
2008-03-01,218.897256432289
2008-04-01,220.744097313099
2008-05-01,221.862724355341
2008-06-01,222.992947260392
2008-07-01,224.031245717014
2008-08-01,224.292051067424
2008-09-01,225.34402221528
2008-10-01,225.33322302515202
2008-11-01,225.904426813248
2008-12-01,227.32913655272
2009-01-01,226.278579720308
2009-02-01,226.682904693554
2009-03-01,227.011004880626
2009-04-01,228.05078437765
2009-05-01,228.961050289627
2009-06-01,229.96935558991
2009-07-01,230.60185956000998
2009-08-01,231.280027656272
2009-09-01,231.614969991003
2009-10-01,233.70386963172902
2009-11-01,234.88474387742
2009-12-01,236.003746689249
2010-01-01,237.16944152414902
2010-02-01,236.78854932019698
2010-03-01,237.84745390603803
2010-04-01,238.15397303580502
2010-05-01,239.173332553123
2010-06-01,240.200782922733
2010-07-01,241.580003460644
2010-08-01,242.461423713186
2010-09-01,242.837746308923
2010-10-01,245.637128436255
2010-11-01,246.31140002797298
2010-12-01,245.055493662494
2011-01-01,245.588368081993
2011-02-01,245.96538568338403
2011-03-01,246.701465503122
2011-04-01,247.77703014061
2011-05-01,249.03395517446498
2011-06-01,248.047456422963
2011-07-01,249.38099144677503
2011-08-01,250.35828776851397
2011-09-01,252.23789184202
2011-10-01,252.29006092851003
2011-11-01,252.96954483725102
2011-12-01,253.705680957916
2012-01-01,254.60290585514
2012-02-01,255.651820230068
2012-03-01,256.096273092134
2012-04-01,256.376140821003
2012-05-01,256.957801592972
2012-06-01,257.51643999778304
2012-07-01,256.74774773477696
2012-08-01,258.123886822793
2012-09-01,258.819952862292
2012-10-01,259.237442650914
2012-11-01,259.749141189604
2012-12-01,261.030955263107
2013-01-01,259.929766197282
2013-02-01,261.08431685725
2013-03-01,262.921155765805
2013-04-01,262.96840102121496
2013-05-01,262.880924973655
2013-06-01,262.735850989914
2013-07-01,262.85690586207403
2013-08-01,263.791903734563
2013-09-01,264.297756427534
2013-10-01,263.388735334224
2013-11-01,264.65857828187
2013-12-01,264.66645117844104
2014-01-01,266.427668263204
2014-02-01,266.821939796256
2014-03-01,267.372962852909
2014-04-01,268.056425993326
2014-05-01,269.04923146681097
2014-06-01,270.352549329887
2014-07-01,271.371584859132
2014-08-01,272.526996989487
2014-09-01,272.70103989255404
2014-10-01,274.438986443168
2014-11-01,275.375375767318
2014-12-01,276.832661229544
2015-01-01,277.368921964249
2015-02-01,278.929061616429
2015-03-01,279.565605327496
2015-04-01,280.876245211903
2015-05-01,282.469780663448
2015-06-01,283.878218070516
2015-07-01,286.432757713263
2015-08-01,286.70693817414
2015-09-01,286.544383356335
2015-10-01,289.48466966023
2015-11-01,290.186871606566
2015-12-01,290.641109259867
2016-01-01,291.34697102168303
2016-02-01,291.273654103078
2016-03-01,292.509183502874
2016-04-01,293.834742938244
2016-05-01,294.361404357823
2016-06-01,295.062716481681
2016-07-01,297.575937201939
2016-08-01,298.106249009621
2016-09-01,300.162247874851
2016-10-01,300.251522106393
2016-11-01,301.485112637908
2016-12-01,302.87260001271704
2017-01-01,304.07775167021197
2017-02-01,305.44273717397704
2017-03-01,307.226071568066
2017-04-01,308.66116132700597
2017-05-01,309.969112849102
2017-06-01,312.06500746507
2017-07-01,312.050639791314
2017-08-01,312.22223039822603
2017-09-01,313.616961024912
2017-10-01,314.841265373822
2017-11-01,315.627942460093
2017-12-01,317.06286545968396
2018-01-01,318.581185742979
2018-02-01,320.06827858203496
2018-03-01,322.150831475445
