DATE,PHOE004EDUH
2020-08-01,331.590276979665
2020-09-01,333.310409289158
2020-10-01,336.93134009050897
2020-11-01,337.698363105388
2020-12-01,339.609860144992
2021-01-01,339.501009394614
2021-02-01,339.894584913916
2021-03-01,340.789078715801
2021-04-01,342.794059410341
2021-05-01,342.934032514996
2021-06-01,344.562602538842
2021-07-01,346.108508343819
2021-08-01,345.111648512976
2021-09-01,345.52183460796203
2021-10-01,345.36751755456396
2021-11-01,345.988306816987
2021-12-01,347.03962512644796
2022-01-01,347.89967011154505
2022-02-01,349.83868274948196
2022-03-01,353.20460790288803
2022-04-01,353.538529640368
