DATE,DENV708EDUH
1990-01-01,70.83148556012891
1990-02-01,71.067434784209
1990-03-01,71.2817616220285
1990-04-01,71.10337714095141
1990-05-01,71.6473041405564
1990-06-01,71.803522121038
1990-07-01,71.8377646985692
1990-08-01,72.29784153195409
1990-09-01,72.679473968575
1990-10-01,72.9432514084534
1990-11-01,73.3939287435
1990-12-01,73.49639219653959
1991-01-01,73.2310900615541
1991-02-01,73.7628894757158
1991-03-01,73.8653365728762
1991-04-01,74.0721844545744
1991-05-01,74.6782557122715
1991-06-01,75.0281838589551
1991-07-01,75.34722090898971
1991-08-01,75.43339060532621
1991-09-01,75.6158505555682
1991-10-01,75.5213041966854
1991-11-01,75.6089056148445
1991-12-01,75.9695206786855
1992-01-01,76.31613255214171
1992-02-01,76.6109502224268
1992-03-01,77.1248502529151
1992-04-01,77.4221966687898
1992-05-01,77.5287091507328
1992-06-01,77.7602227395537
1992-07-01,78.4842421052425
1992-08-01,78.49577188169141
1992-09-01,78.90247113588
1992-10-01,79.2764229419282
1992-11-01,79.4950162848871
1992-12-01,79.54668284655119
1993-01-01,79.6981380246295
1993-02-01,79.8031766333438
1993-03-01,79.9822565209279
1993-04-01,80.2922575090449
1993-05-01,80.3597465871137
1993-06-01,80.3550709474841
1993-07-01,80.82804912798859
1993-08-01,81.0598922870594
1993-09-01,81.306721585536
1993-10-01,80.378988505384
1993-11-01,80.6262634573083
1993-12-01,81.1551866053707
1994-01-01,81.3849975716597
1994-02-01,81.6680750789
1994-03-01,81.7081332754847
1994-04-01,81.8871797012147
1994-05-01,82.2327713762125
1994-06-01,82.6080250510127
1994-07-01,82.8897428135709
1994-08-01,83.5258924372392
1994-09-01,83.9150606284184
1994-10-01,84.7924990170788
1994-11-01,85.299089645804
1994-12-01,85.5928880285802
1995-01-01,86.0343813265128
1995-02-01,86.37409642041041
1995-03-01,87.12379584463899
1995-04-01,86.76282611788771
1995-05-01,87.05321934791661
1995-06-01,87.35412724905771
1995-07-01,87.5102003614005
1995-08-01,87.58968262864741
1995-09-01,87.69719986298608
1995-10-01,87.539357268573
1995-11-01,87.53356472329521
1995-12-01,87.95290928215591
1996-01-01,88.8002521979656
1996-02-01,88.56369842290009
1996-03-01,88.83531545976759
1996-04-01,88.9838584157358
1996-05-01,89.4326447044878
1996-06-01,89.72174968205341
1996-07-01,89.28189687783208
1996-08-01,90.05498246660031
1996-09-01,90.30011605770359
1996-10-01,92.3405298152194
1996-11-01,93.02042568986809
1996-12-01,93.2859497835886
1997-01-01,95.5982291498152
1997-02-01,96.0008715631308
1997-03-01,96.1998428257897
1997-04-01,96.4657529726186
1997-05-01,96.60846402045419
1997-06-01,96.81468034049558
1997-07-01,97.38175353903759
1997-08-01,97.7305151178072
1997-09-01,98.0794064571838
1997-10-01,98.50345650472781
1997-11-01,98.5216384515695
1997-12-01,98.66993535774401
1998-01-01,98.82304219285611
1998-02-01,98.8809592420328
1998-03-01,99.5646630284861
1998-04-01,99.7073342825049
1998-05-01,99.6467561341146
1998-06-01,99.4723713638237
1998-07-01,99.35010567653971
1998-08-01,99.1253277950931
1998-09-01,98.99623304243441
1998-10-01,99.0934808312883
1998-11-01,99.2336048519483
1998-12-01,99.3455897994113
1999-01-01,99.0694961921718
1999-02-01,99.827516859112
1999-03-01,99.59432582089251
1999-04-01,99.7465743407144
1999-05-01,100.069942789718
1999-06-01,100.243002163356
1999-07-01,99.81517087379231
1999-08-01,99.86009795977242
1999-09-01,100.029593725998
1999-10-01,100.196472507213
1999-11-01,100.351598112444
1999-12-01,100.414142874233
2000-01-01,100.506288662884
2000-02-01,100.591111341673
2000-03-01,100.598789508979
2000-04-01,101.185749308124
2000-05-01,101.44605892692101
2000-06-01,102.51997480695499
2000-07-01,102.989384269432
2000-08-01,103.46546359235501
2000-09-01,103.867911042941
2000-10-01,103.43106676667101
2000-11-01,104.083536572146
2000-12-01,104.61094480077601
2001-01-01,104.957679360151
2001-02-01,105.30369154723302
2001-03-01,105.735933380893
2001-04-01,105.57276722161501
2001-05-01,105.975394852894
2001-06-01,106.16370756607701
2001-07-01,106.58567342451599
2001-08-01,107.007438471915
2001-09-01,106.54892953229201
2001-10-01,107.947157934507
2001-11-01,108.402984090644
2001-12-01,108.57154476222901
2002-01-01,108.61729576068701
2002-02-01,108.690490111245
2002-03-01,109.01522204132799
2002-04-01,109.493115993127
2002-05-01,109.75769255140301
2002-06-01,109.60107953028
2002-07-01,110.20463645246599
2002-08-01,110.510016351351
2002-09-01,110.581794270264
2002-10-01,110.76930129320499
2002-11-01,111.050868865334
2002-12-01,111.376164347064
2003-01-01,111.89517607791299
2003-02-01,112.19917856894399
2003-03-01,112.240759693709
2003-04-01,112.73819178675
2003-05-01,112.770760363319
2003-06-01,113.023618073181
2003-07-01,113.66254254206
2003-08-01,113.483967063312
2003-09-01,113.62183772440399
2003-10-01,113.87029179710301
2003-11-01,114.073845947644
2003-12-01,114.260746371622
2004-01-01,114.81794286393
2004-02-01,115.10986201373501
2004-03-01,115.548318654033
2004-04-01,115.516750731861
2004-05-01,115.77193454931
2004-06-01,116.004953375096
2004-07-01,116.33929572689199
2004-08-01,116.67849032108101
2004-09-01,117.257551091446
2004-10-01,117.65192909334499
2004-11-01,117.978287500785
2004-12-01,118.177776754968
2005-01-01,117.685346788645
2005-02-01,118.443820673352
2005-03-01,118.867120352549
2005-04-01,118.820368614764
2005-05-01,119.278300173274
2005-06-01,119.490349916652
2005-07-01,119.611785376339
2005-08-01,119.855888080438
2005-09-01,120.00865974717699
