DATE,CLEV439EDUH
1990-01-01,119.84918795458799
1990-02-01,119.837606789491
1990-03-01,120.11822736234801
1990-04-01,120.521881768626
1990-05-01,120.290336350198
1990-06-01,120.515407000252
1990-07-01,120.09374056821699
1990-08-01,120.34462008408501
1990-09-01,120.549703655181
1990-10-01,120.838419316518
1990-11-01,120.915428879601
1990-12-01,121.500489841468
1991-01-01,121.29954887955999
1991-02-01,121.383258666265
1991-03-01,121.704317286549
1991-04-01,122.089932814198
1991-05-01,122.43589636911899
1991-06-01,122.977993162207
1991-07-01,122.95610759859
1991-08-01,123.518787085433
1991-09-01,124.03062055476101
1991-10-01,124.35079130134001
1991-11-01,124.923912162971
1991-12-01,125.22171612019699
1992-01-01,125.30244067339001
1992-02-01,125.808671455984
1992-03-01,126.066622435784
1992-04-01,126.110413142144
1992-05-01,126.759802426311
1992-06-01,126.68262322842699
1992-07-01,127.39289377842199
1992-08-01,127.686022842851
1992-09-01,127.34570608092899
1992-10-01,128.866048603474
1992-11-01,128.448031919571
1992-12-01,128.743052428989
1993-01-01,129.318064254833
1993-02-01,129.551234800634
1993-03-01,129.637899110517
1993-04-01,129.637148985262
1993-05-01,129.918675343927
1993-06-01,130.223119759523
1993-07-01,131.377326532188
1993-08-01,131.516346960399
1993-09-01,130.865446426623
1993-10-01,130.584819126483
1993-11-01,130.848645806032
1993-12-01,131.185378076456
1994-01-01,131.89763426538
1994-02-01,132.372132004409
1994-03-01,132.926660677841
1994-04-01,133.529403263871
1994-05-01,133.778199735757
1994-06-01,134.18825380155198
1994-07-01,134.742831635455
1994-08-01,135.268309492242
1994-09-01,135.356312651516
1994-10-01,135.699544233728
1994-11-01,136.237253419902
1994-12-01,136.529105201814
1995-01-01,136.730240263389
1995-02-01,136.845877745217
1995-03-01,136.86682117676
1995-04-01,136.391349190457
1995-05-01,136.990733883303
1995-06-01,137.241633568956
1995-07-01,137.626161455439
1995-08-01,137.17789641084102
1995-09-01,138.03938916441402
1995-10-01,138.324313756362
1995-11-01,138.447672491903
1995-12-01,138.78656869833
1996-01-01,138.42052329096202
1996-02-01,138.655913077078
1996-03-01,138.823932059643
1996-04-01,138.914199854557
1996-05-01,139.736177028731
1996-06-01,139.26065729316602
1996-07-01,138.084946565593
1996-08-01,138.559903189301
1996-09-01,138.968501677131
1996-10-01,139.21716013891398
1996-11-01,139.13787154914
1996-12-01,139.584010254473
1997-01-01,138.754653307216
1997-02-01,138.71719190031402
1997-03-01,138.551297071102
1997-04-01,138.769728473876
1997-05-01,138.752464733271
1997-06-01,138.736461309527
1997-07-01,138.605888254303
1997-08-01,139.437259089872
1997-09-01,139.87168300546
1997-10-01,140.34463042927098
1997-11-01,141.057767557163
1997-12-01,141.468152234741
1998-01-01,141.717938428054
1998-02-01,141.852412416796
1998-03-01,142.31707555591
1998-04-01,142.99202604754402
1998-05-01,142.994216003554
1998-06-01,143.374562065936
1998-07-01,143.528027271817
1998-08-01,143.361124738825
1998-09-01,143.251738746081
1998-10-01,143.50968001092699
1998-11-01,143.555656038707
1998-12-01,143.619430917356
1999-01-01,143.65455036419598
1999-02-01,143.467909484881
1999-03-01,143.181021827677
1999-04-01,144.75339839592
1999-05-01,145.271144831786
1999-06-01,145.442837938926
1999-07-01,146.342361345091
1999-08-01,146.367591352457
1999-09-01,146.379814701697
1999-10-01,146.403740187675
1999-11-01,146.497397491997
1999-12-01,146.50793442647898
2000-01-01,147.16557866267001
2000-02-01,147.632191508592
2000-03-01,147.744114969057
2000-04-01,147.112542300293
2000-05-01,147.500611045718
2000-06-01,147.938253023449
2000-07-01,147.946544676769
2000-08-01,148.39346323266898
2000-09-01,148.949842559783
2000-10-01,148.338132302795
2000-11-01,148.658395415039
2000-12-01,149.164235226009
2001-01-01,149.931059033567
2001-02-01,150.553729429338
2001-03-01,150.92740636420498
2001-04-01,151.950972551636
2001-05-01,152.724188201749
2001-06-01,153.292575369913
2001-07-01,153.53016616339198
2001-08-01,154.214371005955
2001-09-01,155.232059265338
2001-10-01,156.647072495317
2001-11-01,157.326133729986
2001-12-01,157.94513148582502
2002-01-01,158.709590425773
2002-02-01,160.08445373694
2002-03-01,160.077352093617
2002-04-01,160.574389223938
2002-05-01,160.83796464636
2002-06-01,161.014574460641
2002-07-01,161.94385025223102
2002-08-01,162.60908654882
2002-09-01,163.149824067595
2002-10-01,163.39784780322202
2002-11-01,163.895811008164
2002-12-01,164.450628575653
2003-01-01,161.358265488502
2003-02-01,161.497520319385
2003-03-01,161.692175043725
2003-04-01,162.314734265291
2003-05-01,162.780809508015
2003-06-01,161.684425665574
2003-07-01,163.21970008236
2003-08-01,163.138495863419
2003-09-01,163.181257741361
2003-10-01,163.25503959224
2003-11-01,163.190299330592
2003-12-01,162.747655674184
2004-01-01,162.952856633223
2004-02-01,162.842082462344
2004-03-01,163.074358905678
2004-04-01,162.67328295332
2004-05-01,162.66804891784702
2004-06-01,161.779179800783
2004-07-01,164.65765865925502
2004-08-01,163.859738937083
2004-09-01,164.614813545862
2004-10-01,165.352378509276
2004-11-01,165.229537687332
2004-12-01,166.14164818562
2005-01-01,165.023440784658
2005-02-01,165.34563214808398
2005-03-01,165.286592741572
2005-04-01,165.099568195284
2005-05-01,165.448856335419
2005-06-01,165.707597618291
2005-07-01,166.419427384037
2005-08-01,166.997305797725
2005-09-01,168.017866579191
2005-10-01,167.396825772527
2005-11-01,168.007858890814
2005-12-01,168.919217914165
2006-01-01,168.493838666235
2006-02-01,169.450871728761
2006-03-01,169.751095356534
2006-04-01,169.605811275814
