DATE,SANF806EDUH
1990-01-01,180.306590279765
1990-02-01,180.14727518273799
1990-03-01,180.610257910827
1990-04-01,182.397847207521
1990-05-01,181.621883803549
1990-06-01,182.93001909517602
1990-07-01,182.710162068414
1990-08-01,184.79902380082902
1990-09-01,185.336677639703
1990-10-01,185.841692096054
1990-11-01,186.970526786201
1990-12-01,186.822333243012
1991-01-01,184.686483412571
1991-02-01,185.404107365918
1991-03-01,185.09364336428501
1991-04-01,185.90885677702
1991-05-01,187.050020557495
1991-06-01,187.358021390401
1991-07-01,188.580795358064
1991-08-01,189.03062627683101
1991-09-01,188.836755677333
1991-10-01,191.33655339176
1991-11-01,191.01618614137902
1991-12-01,190.92570634996702
1992-01-01,191.13366512612203
1992-02-01,191.266936324914
1992-03-01,191.749803537549
1992-04-01,191.94606465457198
1992-05-01,191.812439926082
1992-06-01,191.16719487909802
1992-07-01,191.69436221136002
1992-08-01,191.422289161771
1992-09-01,191.21686339855
1992-10-01,191.754009346653
1992-11-01,191.643354713941
1992-12-01,192.202320627196
1993-01-01,194.33738357331902
1993-02-01,193.64188002534698
1993-03-01,193.513193097276
1993-04-01,192.937914082251
1993-05-01,193.24772910462002
1993-06-01,193.660084782533
1993-07-01,194.147867364364
1993-08-01,194.28225113405603
1993-09-01,194.735209270913
1993-10-01,194.51950789818198
1993-11-01,194.54527560438498
1993-12-01,195.417846915385
1994-01-01,194.65771391603002
1994-02-01,194.15412322031202
1994-03-01,194.568124860619
1994-04-01,194.366200143132
1994-05-01,194.493502923394
1994-06-01,193.908613514086
1994-07-01,193.59870124729
1994-08-01,193.623005757199
1994-09-01,194.58329878457698
1994-10-01,194.896059517593
1994-11-01,195.545826091213
1994-12-01,196.19973069348
1995-01-01,196.102153268755
1995-02-01,197.091446037878
1995-03-01,197.089392707906
1995-04-01,197.16118060195302
1995-05-01,197.75229619047298
1995-06-01,199.216558078361
1995-07-01,199.105650026781
1995-08-01,200.41574683369302
1995-09-01,201.44545432126802
1995-10-01,200.274118896189
1995-11-01,201.081914790561
1995-12-01,201.074692094124
1996-01-01,200.904178665921
1996-02-01,200.837406302002
1996-03-01,201.875405679331
1996-04-01,202.124085625028
1996-05-01,202.497436649937
1996-06-01,202.89223901114
1996-07-01,202.575307977146
1996-08-01,202.183606479398
1996-09-01,202.029570828194
1996-10-01,202.439658130048
1996-11-01,202.81570975461102
1996-12-01,204.101488620195
1997-01-01,205.4928981471
1997-02-01,206.424715139541
1997-03-01,207.61203074478698
1997-04-01,209.340673385398
1997-05-01,212.451616755139
1997-06-01,210.466127031169
1997-07-01,211.241486376843
1997-08-01,208.752780385089
1997-09-01,210.513992646223
1997-10-01,214.500407765614
1997-11-01,213.729868685284
1997-12-01,213.621610332876
1998-01-01,218.38671130221402
1998-02-01,219.124853402084
1998-03-01,219.034574668274
1998-04-01,220.575469526043
1998-05-01,223.261953289666
1998-06-01,221.600896588531
1998-07-01,221.780299415391
1998-08-01,221.19582894906898
1998-09-01,223.288193962554
1998-10-01,226.671046204779
1998-11-01,225.65335990671102
1998-12-01,226.31388699086898
1999-01-01,228.368541542364
1999-02-01,228.915179819663
1999-03-01,228.67514660234798
1999-04-01,227.157408998107
1999-05-01,227.131546882187
1999-06-01,227.72622724909198
1999-07-01,228.17659797991797
1999-08-01,227.77464363000303
1999-09-01,228.69511302187303
1999-10-01,227.540933141885
1999-11-01,226.991903917268
1999-12-01,227.339742492684
2000-01-01,226.32109193748101
2000-02-01,226.681096178046
2000-03-01,226.555244062757
2000-04-01,221.22122411932702
2000-05-01,221.416330023026
2000-06-01,221.48654311782903
2000-07-01,221.961878959487
2000-08-01,222.36546982884101
2000-09-01,223.289114978743
2000-10-01,223.560290532858
2000-11-01,224.621712631786
2000-12-01,226.55547795054
2001-01-01,223.362986919241
2001-02-01,224.40227494562401
2001-03-01,225.767792994454
2001-04-01,225.759282867776
2001-05-01,227.040272351642
2001-06-01,227.80869988850102
2001-07-01,229.086952723877
2001-08-01,230.47436296549
2001-09-01,230.756288970353
2001-10-01,231.40070081665297
2001-11-01,232.141053490437
2001-12-01,233.16302358769798
2002-01-01,233.177434226219
2002-02-01,233.32498288621
2002-03-01,234.364788453102
2002-04-01,230.606892249002
2002-05-01,231.445589129862
2002-06-01,230.36132019888697
2002-07-01,232.637921698023
2002-08-01,232.899777126428
2002-09-01,232.978053826836
2002-10-01,234.36098182572601
2002-11-01,234.931494839167
2002-12-01,235.10081905972402
2003-01-01,236.766818305307
2003-02-01,238.025910052333
2003-03-01,238.638419553749
2003-04-01,241.99396340140498
2003-05-01,242.886136218027
2003-06-01,243.77299624410801
2003-07-01,244.377710384631
2003-08-01,244.66299731217998
2003-09-01,244.920260353904
2003-10-01,244.576992485817
2003-11-01,245.065547859753
2003-12-01,245.797735408238
2004-01-01,247.0947969287
2004-02-01,247.169071271981
2004-03-01,246.91935244178902
2004-04-01,246.77397351825198
2004-05-01,246.47416201757198
2004-06-01,247.19052928019002
2004-07-01,246.837224045299
2004-08-01,247.74700380196398
2004-09-01,248.487199798458
2004-10-01,249.405904028249
2004-11-01,249.81207253931197
2004-12-01,250.289871615761
2005-01-01,249.146034297411
2005-02-01,249.984250660302
2005-03-01,249.98542624040502
2005-04-01,249.27842591470403
2005-05-01,249.886389558071
2005-06-01,249.74303782886798
2005-07-01,251.02413085463903
2005-08-01,252.00388706313097
2005-09-01,252.649719269968
2005-10-01,253.31094930394403
2005-11-01,253.79302145249198
2005-12-01,254.213231251584
2006-01-01,255.234324335056
2006-02-01,255.486844276427
