DATE,CUURA422SAF
2015-10-01,265.907
2015-11-01,.
2015-12-01,263.727
2016-01-01,.
2016-02-01,267.183
2016-03-01,.
2016-04-01,266.126
2016-05-01,.
2016-06-01,267.065
2016-07-01,.
2016-08-01,266.855
2016-09-01,.
2016-10-01,265.849
2016-11-01,.
2016-12-01,266.412
2017-01-01,.
2017-02-01,267.322
2017-03-01,.
2017-04-01,269.739
2017-05-01,.
2017-06-01,268.137
2017-07-01,.
2017-08-01,270.544
2017-09-01,.
2017-10-01,266.579
2017-11-01,.
2017-12-01,269.334
2018-01-01,.
2018-02-01,273.794
2018-03-01,.
2018-04-01,275.824
2018-05-01,.
2018-06-01,277.635
2018-07-01,.
2018-08-01,280.249
2018-09-01,.
2018-10-01,280.826
2018-11-01,.
2018-12-01,284.738
2019-01-01,.
2019-02-01,287.162
2019-03-01,.
2019-04-01,288.243
2019-05-01,.
2019-06-01,290.452
2019-07-01,.
2019-08-01,290.673
2019-09-01,.
2019-10-01,292.658
2019-11-01,.
2019-12-01,291.161
2020-01-01,.
2020-02-01,294.897
2020-03-01,.
2020-04-01,299.485
2020-05-01,.
2020-06-01,307.228
2020-07-01,.
2020-08-01,304.761
2020-09-01,.
2020-10-01,306.640
2020-11-01,.
2020-12-01,311.289
2021-01-01,.
2021-02-01,308.572
2021-03-01,.
2021-04-01,308.790
2021-05-01,.
2021-06-01,313.130
2021-07-01,.
2021-08-01,319.093
2021-09-01,.
2021-10-01,322.908
2021-11-01,.
2021-12-01,324.575
2022-01-01,.
2022-02-01,334.605
2022-03-01,.
2022-04-01,338.207
