DATE,CUUSA319SAF
1991-01-01,135.300
1991-07-01,135.300
1992-01-01,135.800
1992-07-01,135.700
1993-01-01,138.400
1993-07-01,140.700
1994-01-01,140.800
1994-07-01,141.400
1995-01-01,145.400
1995-07-01,147.600
1996-01-01,150.500
1996-07-01,156.400
1997-01-01,158.200
1997-07-01,160.800
