DATE,CUUSA423SAF
1990-01-01,131.800
1990-07-01,134.200
1991-01-01,141.100
1991-07-01,140.200
1992-01-01,141.100
1992-07-01,141.100
1993-01-01,142.800
1993-07-01,142.100
1994-01-01,145.300
1994-07-01,148.500
1995-01-01,151.900
1995-07-01,152.100
1996-01-01,153.500
1996-07-01,157.500
1997-01-01,159.000
1997-07-01,161.500
